date,symbol,open,high,low,close,volume
2017-02-02,HOSE:CTD,194900.0,195400.0,192000.0,193600.0,144360.0
2017-02-03,HOSE:CTD,193600.0,193600.0,189500.0,189500.0,203060.0
2017-02-06,HOSE:CTD,189500.0,192000.0,187000.0,191000.0,134210.0
2017-02-07,HOSE:CTD,191000.0,193600.0,189800.0,190000.0,197450.0
2017-02-08,HOSE:CTD,190000.0,190900.0,189500.0,190900.0,65960.0
2017-02-09,HOSE:CTD,191000.0,196800.0,190900.0,195800.0,199980.0
2017-02-10,HOSE:CTD,195800.0,199900.0,195800.0,198600.0,146670.0
2017-02-13,HOSE:CTD,198600.0,199800.0,197000.0,199700.0,108530.0
2017-02-14,HOSE:CTD,199700.0,199700.0,197000.0,197300.0,177640.0
2017-02-15,HOSE:CTD,195700.0,200000.0,195700.0,200000.0,125590.0
2017-02-16,HOSE:CTD,200000.0,206300.0,200000.0,201100.0,190240.0
2017-02-17,HOSE:CTD,201000.0,206000.0,200000.0,206000.0,167910.0
2017-02-20,HOSE:CTD,207000.0,212000.0,206500.0,209500.0,141920.0
2017-02-21,HOSE:CTD,209900.0,209900.0,207200.0,208000.0,123690.0
2017-02-22,HOSE:CTD,207300.0,211900.0,206100.0,209000.0,113600.0
2017-02-23,HOSE:CTD,209000.0,209200.0,203000.0,204000.0,205620.0
2017-02-24,HOSE:CTD,205000.0,205800.0,202000.0,203000.0,154950.0
2017-02-27,HOSE:CTD,203000.0,206500.0,202000.0,205500.0,142720.0
2017-02-28,HOSE:CTD,206400.0,206900.0,201000.0,201000.0,108810.0
2017-03-01,HOSE:CTD,200000.0,202000.0,197900.0,201900.0,149080.0
2017-03-02,HOSE:CTD,201900.0,203900.0,201800.0,202300.0,51700.0
2017-03-03,HOSE:CTD,202300.0,203500.0,201300.0,202600.0,53440.0
2017-03-06,HOSE:CTD,202900.0,203500.0,196000.0,196000.0,820973.0
2017-03-07,HOSE:CTD,196000.0,199000.0,196000.0,197200.0,426780.0
2017-03-08,HOSE:CTD,198000.0,198100.0,195400.0,195800.0,368819.0
2017-03-09,HOSE:CTD,196000.0,196600.0,192500.0,192500.0,167140.0
2017-03-10,HOSE:CTD,192900.0,195300.0,192100.0,194000.0,397210.0
2017-03-13,HOSE:CTD,194000.0,199900.0,192000.0,199900.0,315350.0
2017-03-14,HOSE:CTD,200000.0,201000.0,198000.0,200000.0,305100.0
2017-03-15,HOSE:CTD,200700.0,200700.0,196800.0,197000.0,316460.0
2017-03-16,HOSE:CTD,197100.0,199900.0,196500.0,198500.0,64200.0
2017-03-17,HOSE:CTD,199800.0,202000.0,198000.0,200000.0,364070.0
2017-03-20,HOSE:CTD,202000.0,204500.0,202000.0,203500.0,377118.0
2017-03-21,HOSE:CTD,205000.0,207000.0,203500.0,205000.0,335940.0
2017-03-22,HOSE:CTD,206000.0,206400.0,202700.0,202900.0,234450.0
2017-03-23,HOSE:CTD,201200.0,203800.0,201200.0,203500.0,132040.0
2017-03-24,HOSE:CTD,204000.0,207500.0,204000.0,206000.0,274460.0
2017-03-27,HOSE:CTD,207000.0,215000.0,206000.0,215000.0,294170.0
2017-03-28,HOSE:CTD,215000.0,215000.0,211000.0,212000.0,107310.0
2017-03-29,HOSE:CTD,213000.0,216000.0,211000.0,212000.0,124180.0
2017-03-30,HOSE:CTD,212000.0,214000.0,208000.0,208000.0,103230.0
2017-03-31,HOSE:CTD,209500.0,210000.0,207000.0,209400.0,69220.0
2017-04-03,HOSE:CTD,208000.0,209500.0,205200.0,205500.0,173018.0
2017-04-04,HOSE:CTD,205500.0,205500.0,201800.0,204000.0,223600.0
2017-04-05,HOSE:CTD,203000.0,203000.0,199700.0,199800.0,306900.0
2017-04-07,HOSE:CTD,200000.0,203000.0,198000.0,203000.0,308700.0
2017-04-10,HOSE:CTD,202500.0,205700.0,201700.0,205700.0,99010.0
2017-04-11,HOSE:CTD,205700.0,208500.0,204500.0,205000.0,375640.0
2017-04-12,HOSE:CTD,204000.0,204200.0,200100.0,201900.0,139520.0
2017-04-13,HOSE:CTD,201000.0,204000.0,201000.0,202000.0,81710.0
2017-04-14,HOSE:CTD,201000.0,201100.0,198000.0,199000.0,162870.0
2017-04-17,HOSE:CTD,200000.0,201700.0,198900.0,199000.0,136000.0
2017-04-18,HOSE:CTD,199000.0,201000.0,196500.0,201000.0,168770.0
2017-04-19,HOSE:CTD,201000.0,203800.0,200000.0,202500.0,196000.0
2017-04-20,HOSE:CTD,203000.0,205500.0,202000.0,204300.0,211790.0
2017-04-21,HOSE:CTD,205000.0,205000.0,203500.0,204400.0,246000.0
2017-04-24,HOSE:CTD,204500.0,205000.0,201000.0,202200.0,118150.0
2017-04-25,HOSE:CTD,202200.0,204500.0,201800.0,203700.0,98910.0
2017-04-26,HOSE:CTD,204400.0,204900.0,203700.0,204000.0,97960.0
2017-04-27,HOSE:CTD,204900.0,206300.0,204100.0,205000.0,117880.0
2017-04-28,HOSE:CTD,205900.0,205900.0,202800.0,204000.0,63580.0
2017-05-03,HOSE:CTD,204000.0,205000.0,202200.0,202200.0,49130.0
2017-05-04,HOSE:CTD,201000.0,201800.0,199500.0,199800.0,178850.0
2017-05-05,HOSE:CTD,199800.0,201100.0,199600.0,200500.0,49820.0
2017-05-08,HOSE:CTD,201100.0,202000.0,199900.0,201500.0,184560.0
2017-05-09,HOSE:CTD,202000.0,203900.0,201700.0,203500.0,98100.0
2017-05-10,HOSE:CTD,203500.0,204400.0,202100.0,202500.0,59000.0
2017-05-11,HOSE:CTD,202500.0,202500.0,200900.0,201500.0,108180.0
2017-05-12,HOSE:CTD,201100.0,202200.0,200800.0,201000.0,76290.0
2017-05-15,HOSE:CTD,200200.0,203900.0,199700.0,203000.0,125820.0
2017-05-16,HOSE:CTD,203000.0,203900.0,201000.0,201000.0,72810.0
2017-05-17,HOSE:CTD,201000.0,203600.0,201000.0,203400.0,105170.0
2017-05-18,HOSE:CTD,203900.0,203900.0,202300.0,202500.0,90620.0
2017-05-19,HOSE:CTD,203000.0,203000.0,201000.0,202000.0,100370.0
2017-05-22,HOSE:CTD,202000.0,202100.0,200000.0,200700.0,173280.0
