date,symbol,open,high,low,close,volume
2017-02-02,UPCOM:DDV,6100.0,6100.0,6100.0,6100.0,0.0
2017-02-03,UPCOM:DDV,6100.0,6100.0,6100.0,6100.0,100.0
2017-02-06,UPCOM:DDV,5700.0,5900.0,5600.0,5900.0,2500.0
2017-02-07,UPCOM:DDV,5600.0,5600.0,5600.0,5600.0,1300.0
2017-02-08,UPCOM:DDV,5800.0,5900.0,5800.0,5900.0,14100.0
2017-02-09,UPCOM:DDV,5900.0,5900.0,5900.0,5900.0,0.0
2017-02-10,UPCOM:DDV,5800.0,5800.0,5800.0,5800.0,2100.0
2017-02-13,UPCOM:DDV,5800.0,5800.0,5800.0,5800.0,0.0
2017-02-14,UPCOM:DDV,6100.0,6100.0,6100.0,6100.0,100.0
2017-02-15,UPCOM:DDV,6100.0,6100.0,6100.0,6100.0,300.0
2017-02-16,UPCOM:DDV,6400.0,6400.0,6400.0,6400.0,400.0
2017-02-17,UPCOM:DDV,6400.0,6500.0,6400.0,6500.0,2000.0
2017-02-20,UPCOM:DDV,5500.0,5500.0,5500.0,5500.0,100.0
2017-02-21,UPCOM:DDV,5500.0,5500.0,5500.0,5500.0,0.0
2017-02-22,UPCOM:DDV,6000.0,6000.0,6000.0,6000.0,100.0
2017-02-23,UPCOM:DDV,6000.0,6000.0,6000.0,6000.0,0.0
2017-02-24,UPCOM:DDV,5200.0,6000.0,5200.0,6000.0,300.0
2017-02-27,UPCOM:DDV,6000.0,6000.0,6000.0,6000.0,254200.0
2017-02-28,UPCOM:DDV,6900.0,6900.0,6000.0,6500.0,14300.0
2017-03-01,UPCOM:DDV,6500.0,6700.0,6500.0,6500.0,4800.0
2017-03-02,UPCOM:DDV,7500.0,7500.0,6700.0,6900.0,600.0
2017-03-03,UPCOM:DDV,6400.0,6400.0,6400.0,6400.0,2000.0
2017-03-06,UPCOM:DDV,6400.0,6700.0,6400.0,6700.0,9600.0
2017-03-07,UPCOM:DDV,6500.0,6900.0,6500.0,6900.0,12700.0
2017-03-08,UPCOM:DDV,6500.0,6500.0,6500.0,6500.0,1400.0
2017-03-09,UPCOM:DDV,6500.0,6500.0,6500.0,6500.0,500.0
2017-03-10,UPCOM:DDV,6500.0,6900.0,6500.0,6900.0,2300.0
2017-03-13,UPCOM:DDV,6600.0,6900.0,6600.0,6900.0,14200.0
2017-03-14,UPCOM:DDV,6600.0,6800.0,6600.0,6800.0,7600.0
2017-03-15,UPCOM:DDV,6700.0,6700.0,6700.0,6700.0,6700.0
2017-03-16,UPCOM:DDV,6700.0,6700.0,6700.0,6700.0,0.0
2017-03-17,UPCOM:DDV,6800.0,6800.0,6800.0,6800.0,100.0
2017-03-20,UPCOM:DDV,6500.0,6600.0,6500.0,6600.0,6000.0
2017-03-21,UPCOM:DDV,6500.0,6500.0,6500.0,6500.0,8600.0
2017-03-22,UPCOM:DDV,6800.0,6800.0,6600.0,6600.0,2100.0
2017-03-23,UPCOM:DDV,6700.0,6700.0,6500.0,6500.0,10700.0
2017-03-24,UPCOM:DDV,6600.0,6600.0,6500.0,6500.0,6400.0
2017-03-27,UPCOM:DDV,6000.0,6000.0,6000.0,6000.0,9500.0
2017-03-28,UPCOM:DDV,6900.0,6900.0,6900.0,6900.0,200.0
2017-03-29,UPCOM:DDV,6900.0,7700.0,6900.0,7000.0,23200.0
2017-03-30,UPCOM:DDV,7600.0,7600.0,7600.0,7600.0,7000000.0
2017-03-31,UPCOM:DDV,8000.0,8000.0,6600.0,6600.0,42500.0
2017-04-03,UPCOM:DDV,6900.0,7000.0,6900.0,7000.0,400.0
2017-04-04,UPCOM:DDV,6500.0,6500.0,6500.0,6500.0,1700.0
2017-04-05,UPCOM:DDV,6500.0,6500.0,6500.0,6500.0,400.0
2017-04-07,UPCOM:DDV,6500.0,6500.0,6500.0,6500.0,0.0
2017-04-10,UPCOM:DDV,7000.0,7000.0,7000.0,7000.0,100.0
2017-04-11,UPCOM:DDV,6200.0,6200.0,6100.0,6100.0,5000.0
2017-04-12,UPCOM:DDV,6500.0,6500.0,6000.0,6000.0,2800.0
2017-04-13,UPCOM:DDV,5500.0,5500.0,5400.0,5400.0,8100.0
2017-04-14,UPCOM:DDV,5400.0,5400.0,5400.0,5400.0,0.0
2017-04-17,UPCOM:DDV,5400.0,5400.0,5400.0,5400.0,0.0
2017-04-18,UPCOM:DDV,5400.0,5400.0,5400.0,5400.0,0.0
2017-04-19,UPCOM:DDV,6000.0,6000.0,6000.0,6000.0,900.0
2017-04-20,UPCOM:DDV,6900.0,6900.0,6900.0,6900.0,100.0
2017-04-21,UPCOM:DDV,6900.0,6900.0,6900.0,6900.0,0.0
2017-04-24,UPCOM:DDV,7900.0,7900.0,6800.0,6800.0,200.0
2017-04-25,UPCOM:DDV,7400.0,7400.0,7400.0,7400.0,0.0
2017-04-26,UPCOM:DDV,7400.0,7400.0,7400.0,7400.0,0.0
2017-04-27,UPCOM:DDV,6300.0,6300.0,6300.0,6300.0,15000.0
2017-04-28,UPCOM:DDV,7000.0,7000.0,7000.0,7000.0,100.0
2017-05-03,UPCOM:DDV,6300.0,6300.0,6300.0,6300.0,5000.0
2017-05-04,UPCOM:DDV,6300.0,6300.0,6300.0,6300.0,10100.0
2017-05-05,UPCOM:DDV,6300.0,6300.0,6300.0,6300.0,12300.0
2017-05-08,UPCOM:DDV,6300.0,6400.0,6300.0,6400.0,3000.0
2017-05-09,UPCOM:DDV,6500.0,6600.0,6400.0,6400.0,4100.0
2017-05-10,UPCOM:DDV,6500.0,6600.0,6500.0,6600.0,2400.0
2017-05-11,UPCOM:DDV,6700.0,6700.0,6700.0,6700.0,5000.0
2017-05-12,UPCOM:DDV,6800.0,6800.0,6300.0,6300.0,25500.0
2017-05-15,UPCOM:DDV,6400.0,6400.0,6400.0,6400.0,0.0
2017-05-16,UPCOM:DDV,6400.0,6400.0,6400.0,6400.0,4000.0
2017-05-17,UPCOM:DDV,7300.0,7300.0,6600.0,6600.0,25400.0
2017-05-18,UPCOM:DDV,7000.0,7800.0,7000.0,7800.0,14800.0
2017-05-19,UPCOM:DDV,7400.0,7400.0,7400.0,7400.0,200.0
2017-05-22,UPCOM:DDV,7000.0,7000.0,6600.0,6600.0,9900.0
