date,symbol,open,high,low,close,volume
2017-05-19,UPCOM:DVN,14500.0,14500.0,14500.0,14500.0,10000.0
2017-05-22,UPCOM:DVN,16600.0,16600.0,16600.0,16600.0,57100.0
2017-05-23,UPCOM:DVN,19000.0,19000.0,18900.0,19000.0,2729600.0
2017-05-24,UPCOM:DVN,21800.0,21800.0,21500.0,21800.0,790700.0
2017-05-25,UPCOM:DVN,24900.0,24900.0,24900.0,24900.0,490600.0
2017-05-26,UPCOM:DVN,28600.0,28600.0,27000.0,28600.0,4170072.0
2017-05-29,UPCOM:DVN,27500.0,32500.0,27500.0,28400.0,1580735.0
2017-05-30,UPCOM:DVN,32600.0,32600.0,25900.0,26800.0,1734000.0
2017-05-31,UPCOM:DVN,26000.0,27500.0,25100.0,25400.0,849050.0
2017-06-01,UPCOM:DVN,26000.0,26000.0,22500.0,23100.0,1023485.0
2017-06-02,UPCOM:DVN,23200.0,25500.0,21600.0,23500.0,658300.0
2017-06-05,UPCOM:DVN,23400.0,26000.0,23400.0,24800.0,615430.0
2017-06-06,UPCOM:DVN,25000.0,25000.0,23400.0,23700.0,1029930.0
2017-06-07,UPCOM:DVN,23800.0,24400.0,23700.0,23800.0,692700.0
2017-06-08,UPCOM:DVN,23800.0,24100.0,23600.0,23700.0,569660.0
2017-06-09,UPCOM:DVN,23700.0,23800.0,22800.0,22900.0,775813.0
2017-06-12,UPCOM:DVN,23000.0,23000.0,21900.0,21900.0,700297.0
2017-06-13,UPCOM:DVN,22000.0,22200.0,20600.0,21300.0,755860.0
2017-06-14,UPCOM:DVN,21000.0,24300.0,21000.0,24000.0,1356785.0
2017-06-15,UPCOM:DVN,24000.0,25100.0,23700.0,23900.0,975070.0
2017-06-16,UPCOM:DVN,23000.0,24200.0,23000.0,23300.0,1103783.0
2017-06-19,UPCOM:DVN,23100.0,23500.0,22600.0,23000.0,511900.0
2017-06-20,UPCOM:DVN,23000.0,24800.0,23000.0,23800.0,783980.0
2017-06-21,UPCOM:DVN,24500.0,24600.0,23900.0,24200.0,885339.0
2017-06-22,UPCOM:DVN,24200.0,24200.0,23000.0,23300.0,12657710.0
2017-06-23,UPCOM:DVN,23200.0,23200.0,22600.0,22600.0,678130.0
2017-06-26,UPCOM:DVN,22700.0,22700.0,21800.0,21900.0,776470.0
2017-06-27,UPCOM:DVN,22200.0,22200.0,21700.0,21900.0,406000.0
2017-06-28,UPCOM:DVN,22000.0,22700.0,21700.0,22200.0,290010.0
2017-06-29,UPCOM:DVN,22200.0,22700.0,22000.0,22000.0,197390.0
2017-06-30,UPCOM:DVN,22200.0,24500.0,22000.0,22400.0,704280.0
2017-07-03,UPCOM:DVN,23300.0,23300.0,22000.0,22200.0,687160.0
2017-07-04,UPCOM:DVN,22200.0,22200.0,21300.0,21800.0,769800.0
2017-07-05,UPCOM:DVN,21700.0,22000.0,21500.0,21700.0,165650.0
2017-07-06,UPCOM:DVN,21500.0,21700.0,21500.0,21600.0,269530.0
2017-07-07,UPCOM:DVN,21600.0,22100.0,21500.0,21700.0,397750.0
2017-07-10,UPCOM:DVN,21500.0,21800.0,21100.0,21400.0,326210.0
2017-07-11,UPCOM:DVN,21000.0,21300.0,20000.0,20500.0,528731.0
2017-07-12,UPCOM:DVN,20500.0,20600.0,20100.0,20200.0,269180.0
2017-07-13,UPCOM:DVN,20200.0,21200.0,20200.0,20700.0,146500.0
2017-07-14,UPCOM:DVN,20800.0,20800.0,20400.0,20500.0,189650.0
2017-07-17,UPCOM:DVN,20400.0,20400.0,19600.0,19800.0,405200.0
2017-07-18,UPCOM:DVN,18700.0,19500.0,18700.0,18800.0,400923.0
2017-07-19,UPCOM:DVN,18600.0,18900.0,18500.0,18700.0,444900.0
2017-07-20,UPCOM:DVN,18700.0,18700.0,17000.0,17700.0,599660.0
2017-07-21,UPCOM:DVN,17700.0,19200.0,17700.0,18600.0,519300.0
2017-07-24,UPCOM:DVN,18400.0,18500.0,18100.0,18300.0,125790.0
2017-07-25,UPCOM:DVN,18400.0,18400.0,17800.0,18200.0,144200.0
2017-07-26,UPCOM:DVN,18100.0,18300.0,17900.0,18000.0,276520.0
2017-07-27,UPCOM:DVN,18300.0,19000.0,18000.0,18300.0,128809.0
2017-07-28,UPCOM:DVN,18400.0,18400.0,18000.0,18000.0,200080.0
2017-07-31,UPCOM:DVN,18200.0,18200.0,17000.0,17000.0,1122139.0
2017-08-01,UPCOM:DVN,17100.0,17100.0,16200.0,16400.0,1047940.0
2017-08-02,UPCOM:DVN,16500.0,18000.0,16300.0,17400.0,557618.0
2017-08-03,UPCOM:DVN,17600.0,18400.0,17500.0,18100.0,498380.0
2017-08-04,UPCOM:DVN,18000.0,18300.0,17700.0,17900.0,323301.0
2017-08-07,UPCOM:DVN,17900.0,17900.0,17300.0,17500.0,313710.0
2017-08-08,UPCOM:DVN,17000.0,17700.0,17000.0,17300.0,172735.0
2017-08-09,UPCOM:DVN,17200.0,17400.0,16900.0,17100.0,370270.0
2017-08-10,UPCOM:DVN,17200.0,17400.0,17000.0,17300.0,182410.0
2017-08-11,UPCOM:DVN,17300.0,17400.0,17100.0,17200.0,130550.0
2017-08-14,UPCOM:DVN,17000.0,17200.0,16700.0,16700.0,878410.0
2017-08-15,UPCOM:DVN,17000.0,17000.0,16400.0,16500.0,674504.0
2017-08-16,UPCOM:DVN,16800.0,17200.0,16700.0,16700.0,431920.0
2017-08-17,UPCOM:DVN,16900.0,16900.0,16400.0,16400.0,333706.0
2017-08-18,UPCOM:DVN,16400.0,16600.0,16400.0,16400.0,253913.0
2017-08-21,UPCOM:DVN,16500.0,16700.0,16400.0,16600.0,135045.0
2017-08-22,UPCOM:DVN,16800.0,18000.0,16800.0,17200.0,1150450.0
2017-08-23,UPCOM:DVN,17400.0,17400.0,16700.0,17000.0,360330.0
2017-08-24,UPCOM:DVN,16800.0,17000.0,16700.0,16900.0,153919.0
2017-08-25,UPCOM:DVN,16900.0,16900.0,16600.0,16600.0,310297.0
2017-08-28,UPCOM:DVN,16700.0,16900.0,16500.0,16700.0,261100.0
2017-08-29,UPCOM:DVN,16700.0,16800.0,16600.0,16600.0,242600.0
2017-08-30,UPCOM:DVN,16600.0,16700.0,16500.0,16600.0,179600.0
2017-08-31,UPCOM:DVN,16600.0,16700.0,16500.0,16600.0,194910.0
2017-09-01,UPCOM:DVN,16500.0,16600.0,16400.0,16500.0,88900.0
2017-09-05,UPCOM:DVN,16600.0,16600.0,16400.0,16500.0,130110.0
2017-09-06,UPCOM:DVN,16500.0,16500.0,16300.0,16500.0,204470.0
2017-09-07,UPCOM:DVN,16400.0,16500.0,16300.0,16500.0,134800.0
2017-09-08,UPCOM:DVN,16400.0,16500.0,16400.0,16400.0,135050.0
2017-09-11,UPCOM:DVN,16400.0,16400.0,16200.0,16300.0,257300.0
2017-09-12,UPCOM:DVN,16300.0,16400.0,16200.0,16200.0,157931.0
2017-09-13,UPCOM:DVN,16300.0,16300.0,16000.0,16000.0,243500.0
2017-09-14,UPCOM:DVN,16000.0,16200.0,15900.0,16100.000000000002,242910.0
2017-09-15,UPCOM:DVN,16100.000000000002,16700.0,16000.0,16500.0,319100.0
2017-09-18,UPCOM:DVN,16500.0,16500.0,16100.000000000002,16300.0,118740.0
2017-09-19,UPCOM:DVN,16300.0,16400.0,16200.0,16300.0,89830.0
2017-09-20,UPCOM:DVN,16300.0,16300.0,16200.0,16200.0,117700.0
2017-09-21,UPCOM:DVN,16200.0,16300.0,16100.000000000002,16200.0,127300.0
2017-09-22,UPCOM:DVN,16200.0,16200.0,16000.0,16000.0,142360.0
2017-09-25,UPCOM:DVN,16100.000000000002,16400.0,16100.000000000002,16300.0,216943.0
2017-09-26,UPCOM:DVN,16300.0,16400.0,16100.000000000002,16100.000000000002,161757.0
2017-09-27,UPCOM:DVN,16200.0,16300.0,16100.000000000002,16100.000000000002,262900.0
2017-09-28,UPCOM:DVN,16200.0,16200.0,16000.0,16200.0,199820.0
2017-09-29,UPCOM:DVN,16200.0,16200.0,15900.0,15900.0,105240.0
2017-10-02,UPCOM:DVN,16000.0,16000.0,15300.0,15500.0,464390.0
2017-10-03,UPCOM:DVN,15600.0,15600.0,14900.0,15000.0,405800.0
2017-10-04,UPCOM:DVN,15100.0,15100.0,14800.0,14900.0,346800.0
2017-10-05,UPCOM:DVN,14900.0,15400.0,14900.0,15000.0,114510.0
2017-10-06,UPCOM:DVN,15200.0,15400.0,15000.0,15100.0,95200.0
2017-10-09,UPCOM:DVN,15300.0,15300.0,14900.0,15100.0,88100.0
2017-10-10,UPCOM:DVN,15000.0,15000.0,14800.0,14900.0,141520.0
2017-10-11,UPCOM:DVN,14900.0,14900.0,14600.0,14700.0,206510.0
2017-10-12,UPCOM:DVN,14700.0,14800.0,14600.0,14700.0,221100.0
2017-10-13,UPCOM:DVN,14700.0,14800.0,14600.0,14600.0,221300.0
2017-10-16,UPCOM:DVN,14700.0,14700.0,14500.0,14500.0,214320.0
2017-10-17,UPCOM:DVN,14500.0,15500.0,14500.0,15300.0,436110.0
2017-10-18,UPCOM:DVN,15400.0,16400.0,15400.0,16400.0,1002569.0
2017-10-19,UPCOM:DVN,16400.0,17200.0,16300.0,16500.0,632000.0
2017-10-20,UPCOM:DVN,16500.0,16500.0,15900.0,15900.0,402330.0
2017-10-23,UPCOM:DVN,15900.0,16000.0,15500.0,16000.0,505919.0
2017-10-24,UPCOM:DVN,15800.0,16000.0,15500.0,16000.0,288510.0
2017-10-25,UPCOM:DVN,16000.0,16900.0,16000.0,16600.0,572390.0
