date,symbol,open,high,low,close,volume
2017-02-02,HOSE:FIT,3990.0,4090.0,3930.0,4090.0,643740.0
2017-02-03,HOSE:FIT,4050.0,4050.0,3900.0,3950.0,935520.0
2017-02-06,HOSE:FIT,3950.0,3950.0,3880.0,3900.0,819680.0
2017-02-07,HOSE:FIT,3940.0,3970.0,3880.0,3970.0,905780.0
2017-02-08,HOSE:FIT,4000.0,4000.0,3920.0,3930.0,723560.0
2017-02-09,HOSE:FIT,3910.0,3960.0,3910.0,3950.0,863840.0
2017-02-10,HOSE:FIT,3970.0,3970.0,3910.0,3930.0,854930.0
2017-02-13,HOSE:FIT,3960.0,4160.0,3930.0,4070.000000000001,1987990.0
2017-02-14,HOSE:FIT,4100.0,4220.0,4050.0,4140.0,2975680.0
2017-02-15,HOSE:FIT,4140.0,4290.0,4130.0,4230.0,2878100.0
2017-02-16,HOSE:FIT,4200.0,4250.0,4130.0,4130.0,2181130.0
2017-02-17,HOSE:FIT,4100.0,4120.0,3980.0,4010.0,2513680.0
2017-02-20,HOSE:FIT,4020.0,4200.0,3980.0,4150.0,2540990.0
2017-02-21,HOSE:FIT,4170.0,4370.0,4170.0,4300.0,3891870.0
2017-02-22,HOSE:FIT,4340.0,4360.0,4250.0,4340.0,2882190.0
2017-02-23,HOSE:FIT,4350.0,4640.0,4320.0,4640.0,6951120.0
2017-02-24,HOSE:FIT,4750.0,4960.0,4740.0,4960.0,13684070.0
2017-02-27,HOSE:FIT,5000.0,5090.0,4850.0,5090.0,10640200.0
2017-02-28,HOSE:FIT,5090.0,5440.0,5060.0,5440.0,14546350.0
2017-03-01,HOSE:FIT,5430.0,5430.0,5060.0,5070.0,14363310.0
2017-03-02,HOSE:FIT,5070.0,5200.0,4920.0,4950.0,6591730.0
2017-03-03,HOSE:FIT,4950.0,4950.0,4610.0,4770.0,9843320.0
2017-03-06,HOSE:FIT,4800.0,5100.0,4770.0,5100.0,9649330.0
2017-03-07,HOSE:FIT,5150.0,5370.0,5070.0,5300.0,8680250.0
2017-03-08,HOSE:FIT,5300.0,5330.0,5140.0,5230.0,6933590.0
