date,symbol,open,high,low,close,volume
2017-02-02,HOSE:FMC,21000.0,21000.0,20600.0,20700.0,27790.0
2017-02-03,HOSE:FMC,20800.0,20900.0,20400.0,20500.0,167500.0
2017-02-06,HOSE:FMC,20600.0,20850.0,20450.0,20700.0,221450.0
2017-02-07,HOSE:FMC,21300.0,22000.0,20800.0,22000.0,323210.0
2017-02-08,HOSE:FMC,22000.0,22000.0,21600.0,21600.0,115500.0
2017-02-09,HOSE:FMC,21700.0,22500.0,21700.0,22400.0,275180.0
2017-02-10,HOSE:FMC,23400.0,23950.0,23400.0,23700.0,712540.0
2017-02-13,HOSE:FMC,23700.0,23900.0,23300.0,23800.0,334470.0
2017-02-14,HOSE:FMC,23800.0,23800.0,23500.0,23700.0,230390.0
2017-02-15,HOSE:FMC,23500.0,23800.0,23500.0,23500.0,183180.0
2017-02-16,HOSE:FMC,23800.0,23900.0,23500.0,23500.0,337750.0
2017-02-17,HOSE:FMC,23550.0,23700.0,23400.0,23550.0,177470.0
2017-02-20,HOSE:FMC,23600.0,23600.0,23300.0,23500.0,184460.0
2017-02-21,HOSE:FMC,23600.0,23750.0,23300.0,23500.0,167120.0
2017-02-22,HOSE:FMC,23500.0,23600.0,23350.0,23450.0,200750.0
2017-02-23,HOSE:FMC,23500.0,23500.0,23400.0,23400.0,220720.0
2017-02-24,HOSE:FMC,23350.0,23400.0,23000.0,23000.0,165910.0
2017-02-27,HOSE:FMC,19700.0,20700.0,19100.0,19400.0,203900.0
2017-02-28,HOSE:FMC,19400.0,20000.0,19400.0,20000.0,52830.0
2017-03-01,HOSE:FMC,19600.0,20400.0,19600.0,19900.0,43250.0
2017-03-02,HOSE:FMC,19700.0,20050.0,19700.0,19900.0,75650.0
2017-03-03,HOSE:FMC,19900.0,19900.0,19600.0,19600.0,37570.0
2017-03-06,HOSE:FMC,19900.0,19900.0,19600.0,19750.0,38870.0
2017-03-07,HOSE:FMC,19800.0,19800.0,19600.0,19800.0,44250.0
2017-03-08,HOSE:FMC,19900.0,19950.0,19700.0,19850.0,77000.0
2017-03-09,HOSE:FMC,19850.0,19950.0,19800.0,19850.0,52710.0
2017-03-10,HOSE:FMC,19850.0,19850.0,19700.0,19800.0,24390.0
2017-03-13,HOSE:FMC,19800.0,19800.0,19600.0,19600.0,28520.0
2017-03-14,HOSE:FMC,19500.0,19800.0,19500.0,19700.0,44680.0
2017-03-15,HOSE:FMC,19700.0,19800.0,19500.0,19500.0,51920.0
2017-03-16,HOSE:FMC,19500.0,19700.0,19500.0,19500.0,40640.0
2017-03-17,HOSE:FMC,19500.0,19700.0,19500.0,19500.0,63000.0
2017-03-20,HOSE:FMC,19500.0,19700.0,19300.0,19300.0,67450.0
2017-03-21,HOSE:FMC,19300.0,19400.0,19200.0,19300.0,128020.0
2017-03-22,HOSE:FMC,19500.0,19500.0,19300.0,19400.0,13760.0
2017-03-23,HOSE:FMC,19400.0,19400.0,19100.0,19250.0,78840.0
2017-03-24,HOSE:FMC,19250.0,19500.0,19250.0,19400.0,49560.0
2017-03-27,HOSE:FMC,19400.0,19400.0,19200.0,19200.0,32500.0
2017-03-28,HOSE:FMC,19200.0,19200.0,18900.0,19100.0,144380.0
2017-03-29,HOSE:FMC,19250.0,19250.0,19100.0,19200.0,54280.0
2017-03-30,HOSE:FMC,19300.0,19300.0,19100.0,19200.0,44950.0
2017-03-31,HOSE:FMC,19150.0,19250.0,19100.0,19150.0,25700.0
2017-04-03,HOSE:FMC,19200.0,19300.0,18900.0,19200.0,72340.0
2017-04-04,HOSE:FMC,19000.0,19200.0,19000.0,19200.0,16350.0
2017-04-05,HOSE:FMC,19200.0,19200.0,19000.0,19100.0,31230.0
2017-04-07,HOSE:FMC,19000.0,19150.0,19000.0,19000.0,106350.0
2017-04-10,HOSE:FMC,19000.0,19100.0,18900.0,18900.0,18110.0
2017-04-11,HOSE:FMC,19100.0,19100.0,18800.0,19000.0,170790.0
2017-04-12,HOSE:FMC,19000.0,19100.0,18800.0,18950.0,23770.0
2017-04-13,HOSE:FMC,19000.0,19000.0,18800.0,18900.0,16330.0
2017-04-14,HOSE:FMC,18900.0,19000.0,18500.0,18900.0,43130.0
2017-04-17,HOSE:FMC,18500.0,19000.0,18500.0,18750.0,147030.0
2017-04-18,HOSE:FMC,18750.0,18800.0,18500.0,18600.0,59680.0
2017-04-19,HOSE:FMC,18600.0,19000.0,18450.0,18800.0,48490.0
2017-04-20,HOSE:FMC,18800.0,18800.0,18700.0,18750.0,18440.0
2017-04-21,HOSE:FMC,18800.0,18800.0,18500.0,18700.0,64040.0
2017-04-24,HOSE:FMC,18000.0,18800.0,18000.0,18750.0,11240.0
2017-04-25,HOSE:FMC,18600.0,18800.0,18600.0,18600.0,4230.0
2017-04-26,HOSE:FMC,18600.0,18700.0,18500.0,18600.0,15360.0
2017-04-27,HOSE:FMC,18550.0,18700.0,18500.0,18600.0,9610.0
2017-04-28,HOSE:FMC,18600.0,18800.0,18600.0,18700.0,37510.0
2017-05-03,HOSE:FMC,18500.0,18700.0,18500.0,18700.0,9660.0
2017-05-04,HOSE:FMC,18700.0,18800.0,18600.0,18800.0,55090.0
2017-05-05,HOSE:FMC,19000.0,19300.0,19000.0,19300.0,84640.0
2017-05-08,HOSE:FMC,20000.0,20000.0,19500.0,19650.0,69810.0
2017-05-09,HOSE:FMC,19900.0,19900.0,19400.0,19400.0,28240.0
2017-05-10,HOSE:FMC,19200.0,19700.0,19200.0,19700.0,99970.0
2017-05-11,HOSE:FMC,19800.0,19800.0,19300.0,19600.0,36660.0
2017-05-12,HOSE:FMC,19600.0,19700.0,19350.0,19600.0,34050.0
