date,symbol,open,high,low,close,volume
2017-02-02,UPCOM:G36,16100.000000000002,16100.000000000002,16100.000000000002,16100.000000000002,800.0
2017-02-03,UPCOM:G36,16100.000000000002,16100.000000000002,16100.000000000002,16100.000000000002,600.0
2017-02-06,UPCOM:G36,15000.0,15000.0,15000.0,15000.0,100.0
2017-02-07,UPCOM:G36,15000.0,15000.0,15000.0,15000.0,0.0
2017-02-08,UPCOM:G36,12800.0,13000.0,12800.0,13000.0,800.0
2017-02-09,UPCOM:G36,14800.0,14800.0,14800.0,14800.0,600.0
2017-02-10,UPCOM:G36,14800.0,14800.0,14800.0,14800.0,0.0
2017-02-13,UPCOM:G36,14800.0,14800.0,14800.0,14800.0,0.0
2017-02-14,UPCOM:G36,14000.0,14000.0,14000.0,14000.0,2800.0
2017-02-15,UPCOM:G36,13200.0,13200.0,13200.0,13200.0,1900.0
2017-02-16,UPCOM:G36,13200.0,13200.0,13200.0,13200.0,0.0
2017-02-17,UPCOM:G36,13200.0,13200.0,13200.0,13200.0,0.0
2017-02-20,UPCOM:G36,12500.0,12500.0,12500.0,12500.0,1000.0
2017-02-21,UPCOM:G36,12500.0,12500.0,12500.0,12500.0,0.0
2017-02-22,UPCOM:G36,12500.0,12500.0,12500.0,12500.0,0.0
2017-02-23,UPCOM:G36,12500.0,12500.0,12500.0,12500.0,0.0
2017-02-24,UPCOM:G36,12500.0,12500.0,12500.0,12500.0,0.0
2017-02-27,UPCOM:G36,12500.0,12500.0,12500.0,12500.0,0.0
2017-02-28,UPCOM:G36,12500.0,12500.0,12500.0,12500.0,0.0
2017-03-01,UPCOM:G36,12500.0,12500.0,12500.0,12500.0,2600.0
2017-03-02,UPCOM:G36,12500.0,12500.0,12500.0,12500.0,0.0
2017-03-03,UPCOM:G36,12500.0,12500.0,12500.0,12500.0,500.0
2017-03-06,UPCOM:G36,14100.0,14100.0,14100.0,14100.0,100.0
2017-03-07,UPCOM:G36,16200.0,16200.0,16200.0,16200.0,100.0
2017-03-08,UPCOM:G36,16200.0,16200.0,16200.0,16200.0,0.0
2017-03-09,UPCOM:G36,16200.0,16200.0,16200.0,16200.0,0.0
2017-03-10,UPCOM:G36,16200.0,16200.0,16200.0,16200.0,0.0
2017-03-13,UPCOM:G36,13800.0,13800.0,13800.0,13800.0,100.0
2017-03-14,UPCOM:G36,13800.0,13800.0,13800.0,13800.0,0.0
2017-03-15,UPCOM:G36,13800.0,13800.0,13800.0,13800.0,0.0
2017-03-16,UPCOM:G36,13800.0,13800.0,13800.0,13800.0,0.0
2017-03-17,UPCOM:G36,13800.0,13800.0,13800.0,13800.0,0.0
2017-03-20,UPCOM:G36,13500.0,13500.0,13500.0,13500.0,600.0
2017-03-21,UPCOM:G36,13500.0,13500.0,13500.0,13500.0,0.0
2017-03-22,UPCOM:G36,13500.0,13500.0,13500.0,13500.0,0.0
2017-03-23,UPCOM:G36,12500.0,13300.0,12500.0,13300.0,1500.0
2017-03-24,UPCOM:G36,13000.0,13000.0,13000.0,13000.0,0.0
2017-03-27,UPCOM:G36,13000.0,13000.0,13000.0,13000.0,0.0
2017-03-28,UPCOM:G36,14000.0,14000.0,13000.0,13000.0,1400.0
2017-03-29,UPCOM:G36,14500.0,14500.0,14500.0,14500.0,100.0
2017-03-30,UPCOM:G36,14500.0,14500.0,14500.0,14500.0,0.0
2017-03-31,UPCOM:G36,14000.0,16500.0,12400.0,12400.0,12400.0
2017-04-03,UPCOM:G36,15400.0,15400.0,15400.0,15400.0,0.0
2017-04-04,UPCOM:G36,15400.0,15400.0,15400.0,15400.0,0.0
2017-04-05,UPCOM:G36,15400.0,15400.0,15400.0,15400.0,0.0
2017-04-07,UPCOM:G36,15400.0,15400.0,15400.0,15400.0,0.0
2017-04-10,UPCOM:G36,15400.0,15400.0,15400.0,15400.0,0.0
2017-04-11,UPCOM:G36,15400.0,15400.0,15400.0,15400.0,0.0
2017-04-12,UPCOM:G36,15400.0,15400.0,15400.0,15400.0,0.0
2017-04-13,UPCOM:G36,15400.0,15400.0,15400.0,15400.0,0.0
2017-04-14,UPCOM:G36,15400.0,15400.0,15400.0,15400.0,0.0
2017-04-17,UPCOM:G36,13100.0,13100.0,13100.0,13100.0,1900.0
2017-04-18,UPCOM:G36,13100.0,13100.0,13100.0,13100.0,0.0
2017-04-19,UPCOM:G36,13100.0,13100.0,13100.0,13100.0,0.0
2017-04-20,UPCOM:G36,13900.0,14000.0,13800.0,13800.0,500.0
2017-04-21,UPCOM:G36,13900.0,13900.0,13900.0,13900.0,0.0
2017-04-24,UPCOM:G36,13000.0,13000.0,13000.0,13000.0,3500.0
2017-04-25,UPCOM:G36,12500.0,12500.0,12500.0,12500.0,100.0
2017-04-26,UPCOM:G36,12000.0,12000.0,12000.0,12000.0,900.0
2017-04-27,UPCOM:G36,12000.0,12000.0,12000.0,12000.0,0.0
2017-04-28,UPCOM:G36,12000.0,12000.0,12000.0,12000.0,0.0
2017-05-03,UPCOM:G36,12000.0,12000.0,12000.0,12000.0,0.0
2017-05-04,UPCOM:G36,12000.0,12000.0,12000.0,12000.0,0.0
2017-05-05,UPCOM:G36,12000.0,12000.0,12000.0,12000.0,0.0
2017-05-08,UPCOM:G36,12000.0,12000.0,12000.0,12000.0,0.0
2017-05-09,UPCOM:G36,12000.0,12000.0,12000.0,12000.0,0.0
2017-05-10,UPCOM:G36,12000.0,12000.0,12000.0,12000.0,1700.0
2017-05-11,UPCOM:G36,12000.0,12000.0,12000.0,12000.0,1600.0
2017-05-12,UPCOM:G36,12000.0,12000.0,12000.0,12000.0,0.0
2017-05-15,UPCOM:G36,10200.0,12000.0,10200.0,12000.0,2100.0
2017-05-16,UPCOM:G36,11300.0,11300.0,11300.0,11300.0,1400.0
2017-05-17,UPCOM:G36,12500.0,12500.0,12000.0,12000.0,3500.0
2017-05-18,UPCOM:G36,12300.0,12300.0,12300.0,12300.0,0.0
