date,symbol,open,high,low,close,volume
2017-02-02,HOSE:HAG,5770.0,5990.0,5720.0,5990.0,10530750.0
2017-02-03,HOSE:HAG,6000.0,6100.0,5800.0,5840.0,4919680.0
2017-02-06,HOSE:HAG,5820.0,5920.0,5750.0,5920.0,4150390.0
2017-02-07,HOSE:HAG,5910.0,6190.0,5910.0,6090.0,5794610.0
2017-02-08,HOSE:HAG,6090.0,6250.0,6090.0,6160.0,6661270.0
2017-02-09,HOSE:HAG,6160.0,6240.0,5950.0,5950.0,8571860.0
2017-02-10,HOSE:HAG,5910.0,6140.0,5780.0,6060.0,6736100.0
2017-02-13,HOSE:HAG,6060.0,6370.0,6060.0,6240.0,9857340.0
2017-02-14,HOSE:HAG,6540.0,6670.0,6500.0,6520.0,10838480.0
2017-02-15,HOSE:HAG,6520.0,6940.0,6510.0,6800.0,10550310.0
2017-02-16,HOSE:HAG,6890.0,7270.0,6800.0,7050.0,20899850.0
2017-02-17,HOSE:HAG,7000.0,7240.0,6950.0,7240.0,10523050.0
2017-02-20,HOSE:HAG,7230.0,7740.0,7180.0,7740.0,14359630.0
2017-02-21,HOSE:HAG,7980.0,8280.0,7900.0,8200.0,11691030.0
2017-02-22,HOSE:HAG,8189.999999999999,8260.0,8000.0,8119.999999999999,11554640.0
2017-02-23,HOSE:HAG,8119.999999999999,8490.0,8080.0,8140.000000000001,11892340.0
2017-02-24,HOSE:HAG,8140.000000000001,8240.0,7580.0,7580.0,14276120.0
2017-02-27,HOSE:HAG,7520.0,8109.999999999999,7350.0,8109.999999999999,13478380.0
2017-02-28,HOSE:HAG,8300.0,8450.0,8130.000000000001,8180.0,6526970.0
2017-03-01,HOSE:HAG,8000.0,8250.0,7930.0,8150.0,8019810.0
2017-03-02,HOSE:HAG,8150.0,8210.0,7910.0,7910.0,6005780.0
2017-03-03,HOSE:HAG,7810.0,8050.000000000001,7670.0,8050.000000000001,4609120.0
2017-03-06,HOSE:HAG,8150.0,8200.0,8070.0,8070.0,6012090.0
2017-03-07,HOSE:HAG,8070.0,8080.0,7990.0,8010.0,3862500.0
2017-03-08,HOSE:HAG,8000.0,8130.000000000001,7880.0,8039.999999999999,6173590.0
2017-03-09,HOSE:HAG,8039.999999999999,8490.0,8010.0,8300.0,11300070.0
2017-03-10,HOSE:HAG,8300.0,8490.0,8270.0,8340.0,5736950.0
2017-03-13,HOSE:HAG,8340.0,8340.0,8170.0,8210.0,4223710.0
2017-03-14,HOSE:HAG,8180.0,8300.0,8150.0,8230.0,5618070.0
2017-03-15,HOSE:HAG,8210.0,8320.0,8200.0,8290.0,5600140.0
2017-03-16,HOSE:HAG,8310.0,8870.0,8300.0,8870.0,23174050.0
2017-03-17,HOSE:HAG,9150.0,9290.0,9000.0,9100.0,12658110.0
2017-03-20,HOSE:HAG,9200.0,9330.0,9110.0,9110.0,5867750.0
2017-03-21,HOSE:HAG,9100.0,9350.0,9010.0,9320.0,8003750.0
2017-03-22,HOSE:HAG,9450.0,9970.0,9400.0,9680.0,15171690.0
2017-03-23,HOSE:HAG,9700.0,10250.0,9680.0,10100.0,10798430.0
2017-03-24,HOSE:HAG,10100.0,10350.0,9700.0,9900.0,12963710.0
2017-03-27,HOSE:HAG,9650.0,10100.0,9500.0,9900.0,13273060.0
2017-03-28,HOSE:HAG,9900.0,9900.0,9580.0,9650.0,15643050.0
2017-03-29,HOSE:HAG,9600.0,9650.0,8980.0,9200.0,15565760.0
2017-03-30,HOSE:HAG,9100.0,9400.0,8880.0,9060.0,8209570.0
2017-03-31,HOSE:HAG,9010.0,9190.0,9010.0,9150.0,4302230.0
2017-04-03,HOSE:HAG,9170.0,9180.0,9020.0,9050.0,3395000.0
2017-04-04,HOSE:HAG,9050.0,9650.0,9050.0,9600.0,6068100.0
2017-04-05,HOSE:HAG,9600.0,9680.0,9350.0,9350.0,5138770.0
2017-04-07,HOSE:HAG,9400.0,9400.0,9200.0,9250.0,2341840.0
2017-04-10,HOSE:HAG,9230.0,9390.0,9190.0,9190.0,2994200.0
2017-04-11,HOSE:HAG,9300.0,9420.0,9140.0,9140.0,6996020.0
2017-04-12,HOSE:HAG,9110.0,9140.0,8510.0,8600.0,14074280.0
2017-04-13,HOSE:HAG,8610.0,8790.0,8500.0,8600.0,5466800.0
2017-04-14,HOSE:HAG,8600.0,8600.0,8200.0,8200.0,8167950.0
2017-04-17,HOSE:HAG,8200.0,8440.0,8119.999999999999,8119.999999999999,5032820.0
2017-04-18,HOSE:HAG,8119.999999999999,8150.0,7850.0,8050.000000000001,5686988.0
2017-04-19,HOSE:HAG,8020.0,8280.0,8000.0,8070.0,4876320.0
2017-04-20,HOSE:HAG,8070.0,8240.0,8039.999999999999,8160.0,2666930.0
2017-04-21,HOSE:HAG,8160.0,8350.0,8100.0,8290.0,3644360.0
2017-04-24,HOSE:HAG,8300.0,8850.0,8300.0,8680.0,6795740.0
2017-04-25,HOSE:HAG,8750.0,8770.0,8510.0,8530.0,4326580.0
2017-04-26,HOSE:HAG,8550.0,8790.0,8540.0,8790.0,3891330.0
2017-04-27,HOSE:HAG,8810.0,8900.0,8700.0,8710.0,2559530.0
2017-04-28,HOSE:HAG,8610.0,8710.0,8580.0,8650.0,3879510.0
2017-05-03,HOSE:HAG,8610.0,9000.0,8480.0,9000.0,4319060.0
2017-05-04,HOSE:HAG,9180.0,9570.0,9150.0,9420.0,12063700.0
2017-05-05,HOSE:HAG,9500.0,9540.0,9100.0,9100.0,9480990.0
2017-05-08,HOSE:HAG,9050.0,9060.0,8470.0,8500.0,16687990.0
2017-05-09,HOSE:HAG,8400.0,8950.0,8200.0,8900.0,7103240.0
2017-05-10,HOSE:HAG,8800.0,9010.0,8690.0,8690.0,4975240.0
2017-05-11,HOSE:HAG,8600.0,8640.0,8500.0,8520.0,3125050.0
2017-05-12,HOSE:HAG,8590.0,8760.0,8580.0,8660.0,3034880.0
2017-05-15,HOSE:HAG,8750.0,8890.0,8690.0,8810.0,4375690.0
2017-05-16,HOSE:HAG,8890.0,9180.0,8890.0,8940.0,7620970.0
2017-05-17,HOSE:HAG,8950.0,9070.0,8800.0,8960.0,3736620.0
2017-05-18,HOSE:HAG,9000.0,9000.0,8780.0,8800.0,4081730.0
2017-05-19,HOSE:HAG,8870.0,9000.0,8780.0,9000.0,3935100.0
2017-05-22,HOSE:HAG,9400.0,9400.0,9050.0,9050.0,6894910.0
2017-05-23,HOSE:HAG,9000.0,9100.0,8800.0,8900.0,4004730.0
2017-05-24,HOSE:HAG,8900.0,9010.0,8780.0,8830.0,3701060.0
2017-05-25,HOSE:HAG,8880.0,8950.0,8750.0,8800.0,4111880.0
2017-05-26,HOSE:HAG,8800.0,9000.0,8770.0,9000.0,4622550.0
2017-05-29,HOSE:HAG,9030.0,9290.0,9030.0,9080.0,6561420.0
2017-05-30,HOSE:HAG,9080.0,9100.0,8810.0,8820.0,5081530.0
2017-05-31,HOSE:HAG,8820.0,8900.0,8700.0,8700.0,4900990.0
2017-06-01,HOSE:HAG,8720.0,8800.0,8700.0,8800.0,4777010.0
2017-06-02,HOSE:HAG,8800.0,8950.0,8750.0,8920.0,1659610.0
2017-06-05,HOSE:HAG,8600.0,8700.0,8300.0,8300.0,11682810.0
2017-06-06,HOSE:HAG,8310.0,8580.0,8230.0,8580.0,4012310.0
2017-06-07,HOSE:HAG,8690.0,8690.0,8570.0,8570.0,3128750.0
2017-06-08,HOSE:HAG,8500.0,8550.0,8200.0,8220.0,4365900.0
2017-06-09,HOSE:HAG,8220.0,8400.0,8060.000000000001,8220.0,4570020.0
2017-06-12,HOSE:HAG,8250.0,8400.0,8200.0,8360.0,1766910.0
2017-06-13,HOSE:HAG,8400.0,8590.0,8400.0,8550.0,3839420.0
2017-06-14,HOSE:HAG,8750.0,9140.0,8710.0,9140.0,11808830.0
2017-06-15,HOSE:HAG,9290.0,9450.0,8950.0,9050.0,9771570.0
2017-06-16,HOSE:HAG,9100.0,9250.0,9010.0,9170.0,15736160.0
2017-06-19,HOSE:HAG,9400.0,9400.0,9020.0,9050.0,5751100.0
2017-06-20,HOSE:HAG,9050.0,9070.0,8990.0,9060.0,3783240.0
2017-06-21,HOSE:HAG,9200.0,9200.0,9050.0,9150.0,7453370.0
2017-06-22,HOSE:HAG,9250.0,9680.0,9180.0,9560.0,7932240.0
2017-06-23,HOSE:HAG,9600.0,9870.0,9600.0,9780.0,7348090.0
2017-06-26,HOSE:HAG,9800.0,9850.0,9650.0,9700.0,6242010.0
2017-06-27,HOSE:HAG,9660.0,9690.0,9350.0,9350.0,7822830.0
2017-06-28,HOSE:HAG,9300.0,9490.0,9250.0,9490.0,3445130.0
2017-06-29,HOSE:HAG,9590.0,9640.0,9510.0,9600.0,4536080.0
2017-06-30,HOSE:HAG,9600.0,9760.0,9400.0,9480.0,8434870.0
2017-07-03,HOSE:HAG,9490.0,9500.0,9020.0,9100.0,9660750.0
2017-07-04,HOSE:HAG,9100.0,9220.0,9020.0,9220.0,6332800.0
