date,symbol,open,high,low,close,volume
2017-02-02,HOSE:HAX,40500.0,41000.0,40100.0,40200.0,31500.0
2017-02-03,HOSE:HAX,40200.0,40800.0,40200.0,40600.0,83760.0
2017-02-06,HOSE:HAX,40600.0,42900.0,40600.0,42800.0,179230.0
2017-02-07,HOSE:HAX,43000.0,44300.0,43000.0,43400.0,183540.0
2017-02-08,HOSE:HAX,43400.0,43600.0,42800.0,43600.0,218860.0
2017-02-09,HOSE:HAX,43600.0,44800.0,43600.0,44750.0,467960.0
2017-02-10,HOSE:HAX,45000.0,45000.0,44100.0,44100.0,56820.0
2017-02-13,HOSE:HAX,44400.0,44500.0,43600.0,43950.0,101590.0
2017-02-14,HOSE:HAX,43950.0,43950.0,42900.0,43100.0,159500.0
2017-02-15,HOSE:HAX,43700.0,43700.0,42750.0,43000.0,117560.0
2017-02-16,HOSE:HAX,43300.0,43400.0,42100.0,42100.0,170960.0
2017-02-17,HOSE:HAX,41700.0,42800.0,41600.0,42600.0,94170.0
2017-02-20,HOSE:HAX,42600.0,44000.0,42600.0,43350.0,153060.0
2017-02-21,HOSE:HAX,44200.0,44700.0,43800.0,43800.0,146570.0
2017-02-22,HOSE:HAX,43900.0,45600.0,43850.0,44600.0,208820.0
2017-02-23,HOSE:HAX,44600.0,45000.0,43700.0,44000.0,126300.0
2017-02-24,HOSE:HAX,44200.0,44200.0,42500.0,42600.0,148420.0
2017-02-27,HOSE:HAX,41800.0,43000.0,41500.0,41700.0,183680.0
2017-02-28,HOSE:HAX,41600.0,42800.0,41600.0,42500.0,95570.0
2017-03-01,HOSE:HAX,42500.0,42500.0,42000.0,42100.0,58290.0
2017-03-02,HOSE:HAX,42100.0,43800.0,42000.0,43800.0,178590.0
2017-03-03,HOSE:HAX,43950.0,44300.0,43600.0,44200.0,105160.0
2017-03-06,HOSE:HAX,44500.0,46300.0,44300.0,46000.0,260140.0
2017-03-07,HOSE:HAX,46200.0,47200.0,46200.0,46800.0,201870.0
2017-03-08,HOSE:HAX,46800.0,47100.0,46400.0,46900.0,104560.0
