date,symbol,open,high,low,close,volume
2017-02-02,HOSE:HT1,20000.0,20400.0,20000.0,20000.0,15710.0
2017-02-03,HOSE:HT1,20200.0,20200.0,19300.0,19300.0,82160.0
2017-02-06,HOSE:HT1,19300.0,19300.0,18550.0,18550.0,100920.0
2017-02-07,HOSE:HT1,18700.0,18900.0,18200.0,18450.0,513320.0
2017-02-08,HOSE:HT1,18300.0,18400.0,17900.0,18400.0,1057944.0
2017-02-09,HOSE:HT1,18600.0,19650.0,18600.0,19650.0,336740.0
2017-02-10,HOSE:HT1,19900.0,20600.0,19900.0,20400.0,1209010.0
2017-02-13,HOSE:HT1,20400.0,21000.0,20250.0,20600.0,407640.0
2017-02-14,HOSE:HT1,20600.0,20800.0,20200.0,20200.0,135760.0
2017-02-15,HOSE:HT1,20100.0,21000.0,20000.0,20650.0,355790.0
2017-02-16,HOSE:HT1,20650.0,20700.0,20200.0,20250.0,227100.0
2017-02-17,HOSE:HT1,20250.0,20550.0,19600.0,20200.0,328930.0
2017-02-20,HOSE:HT1,19700.0,20400.0,19400.0,20200.0,240990.0
2017-02-21,HOSE:HT1,20500.0,20600.0,20100.0,20250.0,246150.0
2017-02-22,HOSE:HT1,20100.0,20300.0,20000.0,20100.0,180500.0
2017-02-23,HOSE:HT1,20000.0,20200.0,19800.0,20000.0,649050.0
2017-02-24,HOSE:HT1,19800.0,19900.0,19600.0,19700.0,123130.0
2017-02-27,HOSE:HT1,19500.0,19700.0,19100.0,19100.0,129340.0
2017-02-28,HOSE:HT1,19200.0,19500.0,18800.0,18800.0,142590.0
2017-03-01,HOSE:HT1,18800.0,19600.0,18750.0,19600.0,124330.0
2017-03-02,HOSE:HT1,19800.0,19800.0,18900.0,19300.0,74550.0
2017-03-03,HOSE:HT1,18650.0,19100.0,18650.0,18900.0,128090.0
2017-03-06,HOSE:HT1,18900.0,19200.0,18850.0,18850.0,143460.0
2017-03-07,HOSE:HT1,18700.0,18850.0,18500.0,18850.0,188470.0
2017-03-08,HOSE:HT1,18850.0,19950.0,18850.0,19450.0,437960.0
2017-03-09,HOSE:HT1,19850.0,19850.0,19400.0,19400.0,56040.0
2017-03-10,HOSE:HT1,19500.0,20400.0,19500.0,20150.0,483940.0
2017-03-13,HOSE:HT1,20250.0,20900.0,20250.0,20600.0,607730.0
2017-03-14,HOSE:HT1,20900.0,20900.0,20300.0,20400.0,368750.0
2017-03-15,HOSE:HT1,20700.0,21800.0,20300.0,21700.0,883920.0
2017-03-16,HOSE:HT1,21900.0,23200.0,21600.0,23200.0,853470.0
2017-03-17,HOSE:HT1,23800.0,24800.0,23200.0,23300.0,970270.0
2017-03-20,HOSE:HT1,23400.0,24000.0,22950.0,23000.0,829150.0
2017-03-21,HOSE:HT1,22700.0,23800.0,22700.0,22700.0,816980.0
2017-03-22,HOSE:HT1,22700.0,23500.0,22600.0,23100.0,457950.0
2017-03-23,HOSE:HT1,23100.0,23900.0,23100.0,23450.0,500710.0
2017-03-24,HOSE:HT1,23750.0,23750.0,22500.0,23000.0,485190.0
2017-03-27,HOSE:HT1,23000.0,23100.0,22000.0,23100.0,1014790.0
2017-03-28,HOSE:HT1,23300.0,23300.0,22300.0,22300.0,282780.0
2017-03-29,HOSE:HT1,22300.0,22400.0,21700.0,21900.0,428180.0
2017-03-30,HOSE:HT1,21800.0,22800.0,21800.0,22500.0,214100.0
2017-03-31,HOSE:HT1,22850.0,22900.0,22100.0,22400.0,255160.0
2017-04-03,HOSE:HT1,22600.0,22600.0,22000.0,22400.0,163580.0
2017-04-04,HOSE:HT1,22500.0,22500.0,22150.0,22400.0,395980.0
2017-04-05,HOSE:HT1,22200.0,23300.0,22200.0,23000.0,675660.0
2017-04-07,HOSE:HT1,23000.0,23100.0,22750.0,22950.0,191860.0
2017-04-10,HOSE:HT1,22750.0,23800.0,22750.0,23600.0,585600.0
2017-04-11,HOSE:HT1,23600.0,24800.0,23600.0,24800.0,797140.0
2017-04-12,HOSE:HT1,24800.0,24850.0,23800.0,23800.0,451780.0
2017-04-13,HOSE:HT1,23900.0,24300.0,23350.0,23800.0,426850.0
