date,symbol,open,high,low,close,volume
2017-02-02,HOSE:KDH,19700.0,19800.0,19700.0,19800.0,35380.0
2017-02-03,HOSE:KDH,19700.0,19750.0,19650.0,19700.0,1061850.0
2017-02-06,HOSE:KDH,19700.0,19700.0,19550.0,19600.0,53130.0
2017-02-07,HOSE:KDH,19600.0,19700.0,19400.0,19500.0,122100.0
2017-02-08,HOSE:KDH,19500.0,19500.0,19300.0,19400.0,139250.0
2017-02-09,HOSE:KDH,19500.0,19800.0,19400.0,19600.0,153270.0
2017-02-10,HOSE:KDH,19600.0,19800.0,19600.0,19700.0,136000.0
2017-02-13,HOSE:KDH,19700.0,20100.0,19650.0,20100.0,173920.0
2017-02-14,HOSE:KDH,20200.0,20300.0,20000.0,20200.0,150950.0
2017-02-15,HOSE:KDH,20200.0,20900.0,20100.0,20300.0,2490722.0
2017-02-16,HOSE:KDH,20500.0,21700.0,20400.0,21500.0,155430.0
2017-02-17,HOSE:KDH,21200.0,21500.0,21200.0,21500.0,61100.0
2017-02-20,HOSE:KDH,21500.0,21600.0,20800.0,21500.0,290110.0
2017-02-21,HOSE:KDH,21300.0,22900.0,21300.0,22300.0,522340.0
2017-02-22,HOSE:KDH,22600.0,22600.0,21800.0,22000.0,78220.0
2017-02-23,HOSE:KDH,21900.0,22200.0,21600.0,22000.0,84940.0
2017-02-24,HOSE:KDH,22000.0,22000.0,21600.0,21900.0,84870.0
2017-02-27,HOSE:KDH,21900.0,22000.0,21800.0,21900.0,41200.0
2017-02-28,HOSE:KDH,21800.0,21900.0,21800.0,21900.0,573860.0
2017-03-01,HOSE:KDH,21900.0,22400.0,21900.0,22400.0,166560.0
2017-03-02,HOSE:KDH,23300.0,23300.0,22500.0,23200.0,325450.0
2017-03-03,HOSE:KDH,23200.0,23400.0,22800.0,23300.0,143990.0
2017-03-06,HOSE:KDH,22900.0,23500.0,22900.0,23400.0,162440.0
2017-03-07,HOSE:KDH,23100.0,23500.0,23100.0,23450.0,77200.0
2017-03-08,HOSE:KDH,23450.0,23550.0,23200.0,23500.0,99810.0
2017-03-09,HOSE:KDH,23500.0,23500.0,23200.0,23250.0,123850.0
2017-03-10,HOSE:KDH,23000.0,23400.0,23000.0,23300.0,36310.0
2017-03-13,HOSE:KDH,23300.0,23400.0,22900.0,23100.0,282630.0
2017-03-14,HOSE:KDH,23100.0,23150.0,23000.0,23100.0,220060.0
2017-03-15,HOSE:KDH,23100.0,23400.0,23100.0,23300.0,224820.0
2017-03-16,HOSE:KDH,23200.0,24200.0,23100.0,24200.0,276080.0
2017-03-17,HOSE:KDH,24200.0,25200.0,24200.0,24300.0,169140.0
2017-03-20,HOSE:KDH,24300.0,25100.0,24300.0,24450.0,98420.0
2017-03-21,HOSE:KDH,24450.0,24450.0,24000.0,24200.0,114000.0
2017-03-22,HOSE:KDH,24000.0,24400.0,24000.0,24200.0,138840.0
2017-03-23,HOSE:KDH,24300.0,24300.0,24000.0,24200.0,2096730.0
2017-03-24,HOSE:KDH,24000.0,24300.0,24000.0,24200.0,42500.0
2017-03-27,HOSE:KDH,24000.0,24400.0,24000.0,24200.0,1119660.0
2017-03-28,HOSE:KDH,24300.0,25850.0,24300.0,25850.0,226110.0
2017-03-29,HOSE:KDH,25850.0,25850.0,25150.0,25400.0,41000.0
2017-03-30,HOSE:KDH,25200.0,25600.0,25200.0,25400.0,58460.0
2017-03-31,HOSE:KDH,25300.0,25500.0,25250.0,25350.0,46790.0
2017-04-03,HOSE:KDH,25300.0,25700.0,25300.0,25600.0,64190.0
2017-04-04,HOSE:KDH,25700.0,25800.0,25300.0,25300.0,99890.0
2017-04-05,HOSE:KDH,25200.0,25300.0,25000.0,25000.0,131560.0
2017-04-07,HOSE:KDH,25000.0,25000.0,24700.0,24700.0,112800.0
2017-04-10,HOSE:KDH,24700.0,24800.0,24600.0,24750.0,77660.0
2017-04-11,HOSE:KDH,24800.0,25800.0,24750.0,24900.0,256050.0
2017-04-12,HOSE:KDH,25000.0,25200.0,24900.0,25000.0,128740.0
2017-04-13,HOSE:KDH,25000.0,25100.0,24700.0,25000.0,1154320.0
2017-04-14,HOSE:KDH,24900.0,25000.0,24600.0,24800.0,91550.0
2017-04-17,HOSE:KDH,24900.0,25200.0,24800.0,25000.0,145770.0
2017-04-18,HOSE:KDH,25000.0,25100.0,24900.0,25100.0,244790.0
2017-04-19,HOSE:KDH,25100.0,25700.0,25050.0,25600.0,170660.0
2017-04-20,HOSE:KDH,25600.0,25700.0,25150.0,25400.0,148050.0
2017-04-21,HOSE:KDH,25200.0,25400.0,25200.0,25300.0,76870.0
2017-04-24,HOSE:KDH,25300.0,25300.0,25100.0,25200.0,148790.0
2017-04-25,HOSE:KDH,25200.0,25200.0,24700.0,24900.0,169460.0
2017-04-26,HOSE:KDH,24900.0,25100.0,24800.0,25000.0,71080.0
2017-04-27,HOSE:KDH,25000.0,25200.0,24900.0,25000.0,118850.0
2017-04-28,HOSE:KDH,25000.0,25000.0,24800.0,25000.0,56040.0
2017-05-03,HOSE:KDH,25000.0,25100.0,24800.0,25000.0,97150.0
2017-05-04,HOSE:KDH,25100.0,25550.0,25100.0,25500.0,172560.0
2017-05-05,HOSE:KDH,25500.0,25600.0,25250.0,25500.0,167160.0
2017-05-08,HOSE:KDH,25500.0,27250.0,25400.0,27250.0,418380.0
2017-05-09,HOSE:KDH,27900.0,27950.0,27400.0,27650.0,540180.0
2017-05-10,HOSE:KDH,27750.0,27750.0,27400.0,27500.0,146140.0
2017-05-11,HOSE:KDH,27400.0,27400.0,27000.0,27200.0,123910.0
2017-05-12,HOSE:KDH,27000.0,28200.0,27000.0,27350.0,316490.0
2017-05-15,HOSE:KDH,27300.0,27900.0,27300.0,27800.0,320100.0
2017-05-16,HOSE:KDH,27800.0,29350.0,27600.0,28000.0,615970.0
2017-05-17,HOSE:KDH,27700.0,28200.0,27700.0,28150.0,186860.0
2017-05-18,HOSE:KDH,28000.0,28000.0,27300.0,27400.0,169270.0
2017-05-19,HOSE:KDH,27000.0,27400.0,26600.0,26650.0,353240.0
2017-05-22,HOSE:KDH,26250.0,27400.0,26250.0,27250.0,1591550.0
2017-05-23,HOSE:KDH,26800.0,27300.0,26800.0,27200.0,2086434.0
2017-05-24,HOSE:KDH,27000.0,27200.0,26800.0,27200.0,407609.0
2017-05-25,HOSE:KDH,27200.0,27750.0,27000.0,27200.0,441029.0
2017-05-26,HOSE:KDH,27200.0,27300.0,26900.0,27150.0,453599.0
2017-05-29,HOSE:KDH,27150.0,27900.0,27000.0,27800.0,714539.0
2017-05-30,HOSE:KDH,27700.0,28300.0,27700.0,27700.0,606489.0
2017-05-31,HOSE:KDH,27300.0,27800.0,27300.0,27800.0,373649.0
2017-06-01,HOSE:KDH,27800.0,27800.0,27500.0,27800.0,352499.0
2017-06-02,HOSE:KDH,27800.0,28200.0,27700.0,28100.0,526949.0
2017-06-05,HOSE:KDH,28300.0,29100.0,28300.0,28900.0,556069.0
2017-06-06,HOSE:KDH,29000.0,29000.0,28500.0,28550.0,349289.0
2017-06-07,HOSE:KDH,28500.0,28600.0,28400.0,28500.0,592739.0
2017-06-08,HOSE:KDH,28400.0,28500.0,28000.0,28400.0,441309.0
2017-06-09,HOSE:KDH,28500.0,28500.0,28100.0,28400.0,352879.0
2017-06-12,HOSE:KDH,28400.0,28400.0,28000.0,28350.0,410799.0
2017-06-13,HOSE:KDH,28100.0,28350.0,28000.0,28000.0,388729.0
2017-06-14,HOSE:KDH,28000.0,28200.0,27500.0,27500.0,440259.0
2017-06-15,HOSE:KDH,27700.0,27800.0,27500.0,27800.0,564523.0
2017-06-16,HOSE:KDH,27800.0,28000.0,27700.0,27900.0,470753.0
2017-06-19,HOSE:KDH,28000.0,28400.0,27900.0,28000.0,529293.0
2017-06-20,HOSE:KDH,28000.0,28200.0,28000.0,28000.0,490203.0
2017-06-21,HOSE:KDH,28000.0,28100.0,27950.0,28000.0,478843.0
2017-06-22,HOSE:KDH,28000.0,28100.0,27900.0,27900.0,482893.0
2017-06-23,HOSE:KDH,27900.0,28800.0,27800.0,28500.0,615623.0
2017-06-26,HOSE:KDH,28500.0,28700.0,28000.0,28100.0,483263.0
2017-06-27,HOSE:KDH,28100.0,28200.0,27800.0,28000.0,491603.0
