date,symbol,open,high,low,close,volume
2017-02-02,HOSE:LCG,4950.0,4950.0,4770.0,4870.0,766760.0
2017-02-03,HOSE:LCG,4950.0,5190.0,4870.0,5100.0,2831550.0
2017-02-06,HOSE:LCG,5100.0,5120.0,5000.0,5100.0,1282710.0
2017-02-07,HOSE:LCG,5230.0,5450.0,5200.0,5450.0,2561060.0
2017-02-08,HOSE:LCG,5400.0,5700.0,5400.0,5600.0,838750.0
2017-02-09,HOSE:LCG,5600.0,5690.0,5530.0,5550.0,564660.0
2017-02-10,HOSE:LCG,5550.0,5590.0,5360.0,5440.0,948720.0
2017-02-13,HOSE:LCG,5430.0,5670.0,5400.0,5640.0,2016000.0
2017-02-14,HOSE:LCG,5800.0,5850.0,5760.0,5820.0,1024270.0
2017-02-15,HOSE:LCG,5800.0,6210.0,5800.0,6120.0,1250320.0
2017-02-16,HOSE:LCG,6150.0,6180.0,5900.0,5940.0,1411070.0
2017-02-17,HOSE:LCG,5900.0,6100.0,5820.0,6100.0,1084740.0
2017-02-20,HOSE:LCG,6010.0,6300.0,6010.0,6300.0,940890.0
2017-02-21,HOSE:LCG,6410.0,6600.0,6320.0,6550.0,1970110.0
2017-02-22,HOSE:LCG,6500.0,6590.0,6400.0,6400.0,1148140.0
2017-02-23,HOSE:LCG,6350.0,6500.0,6200.0,6420.0,943030.0
2017-02-24,HOSE:LCG,6440.0,6440.0,6200.0,6200.0,874950.0
2017-02-27,HOSE:LCG,6150.0,6500.0,6100.0,6480.0,771360.0
2017-02-28,HOSE:LCG,6400.0,6520.0,6200.0,6200.0,963080.0
2017-03-01,HOSE:LCG,6200.0,6200.0,6030.0,6130.0,672570.0
2017-03-02,HOSE:LCG,6130.0,6400.0,6060.0,6260.0,810840.0
2017-03-03,HOSE:LCG,6260.0,6690.0,6200.0,6690.0,1415030.0
2017-03-06,HOSE:LCG,7100.0,7150.0,7080.0,7150.0,2736910.0
2017-03-07,HOSE:LCG,7100.0,7400.0,7000.0,7130.0,1142630.0
2017-03-08,HOSE:LCG,7000.0,7250.0,6960.0,7180.0,999940.0
2017-03-09,HOSE:LCG,7180.0,7680.0,7180.0,7600.0,1977440.0
2017-03-10,HOSE:LCG,7700.0,7710.0,7300.0,7480.0,1107720.0
