date,symbol,open,high,low,close,volume
2017-02-02,HOSE:LDG,6700.0,6900.0,6700.0,6820.0,413500.0
2017-02-03,HOSE:LDG,6920.0,6920.0,6700.0,6850.0,605800.0
2017-02-06,HOSE:LDG,6850.0,6850.0,6380.0,6520.0,814940.0
2017-02-07,HOSE:LDG,6640.0,6700.0,6500.0,6700.0,516130.0
2017-02-08,HOSE:LDG,6630.0,7100.0,6630.0,7100.0,1116580.0
2017-02-09,HOSE:LDG,7150.0,7400.0,7110.0,7220.0,1216760.0
2017-02-10,HOSE:LDG,7300.0,7390.0,7240.0,7380.0,529490.0
2017-02-13,HOSE:LDG,7440.0,7450.0,7290.0,7380.0,649650.0
2017-02-14,HOSE:LDG,7400.0,7880.0,7400.0,7820.0,1607310.0
2017-02-15,HOSE:LDG,8000.0,8300.0,7990.0,8280.0,1352740.0
2017-02-16,HOSE:LDG,8370.0,8440.0,8200.0,8360.0,1068200.0
2017-02-17,HOSE:LDG,8020.0,8450.0,8020.0,8400.0,1385470.0
2017-02-20,HOSE:LDG,8460.0,8830.0,8300.0,8800.0,812540.0
2017-02-21,HOSE:LDG,8900.0,9180.0,8850.0,9100.0,799410.0
2017-02-22,HOSE:LDG,9200.0,9200.0,8700.0,9000.0,1136690.0
2017-02-23,HOSE:LDG,9000.0,9200.0,8800.0,9200.0,1627940.0
2017-02-24,HOSE:LDG,9290.0,9300.0,9010.0,9200.0,884450.0
2017-02-27,HOSE:LDG,9000.0,9200.0,9000.0,9000.0,603590.0
2017-02-28,HOSE:LDG,9100.0,9100.0,8400.0,8500.0,841240.0
2017-03-01,HOSE:LDG,8400.0,8800.0,8300.0,8780.0,1004750.0
2017-03-02,HOSE:LDG,8890.0,9000.0,8780.0,8900.0,498690.0
2017-03-03,HOSE:LDG,8910.0,9000.0,8750.0,9000.0,475660.0
2017-03-06,HOSE:LDG,9000.0,9300.0,9000.0,9200.0,1062160.0
2017-03-07,HOSE:LDG,9200.0,9280.0,9080.0,9200.0,542260.0
2017-03-08,HOSE:LDG,9100.0,9190.0,9000.0,9000.0,318220.0
2017-03-09,HOSE:LDG,8800.0,9000.0,8600.0,8700.0,679220.0
2017-03-10,HOSE:LDG,8720.0,8900.0,8450.0,8450.0,370440.0
2017-03-13,HOSE:LDG,8720.0,8720.0,8360.0,8430.0,421720.0
2017-03-14,HOSE:LDG,8400.0,8500.0,8200.0,8350.0,526410.0
2017-03-15,HOSE:LDG,8330.0,8390.0,8300.0,8390.0,241150.0
2017-03-16,HOSE:LDG,8400.0,8970.0,8400.0,8970.0,794210.0
2017-03-17,HOSE:LDG,9250.0,9590.0,9200.0,9200.0,832400.0
2017-03-20,HOSE:LDG,9200.0,9450.0,9200.0,9400.0,333970.0
2017-03-21,HOSE:LDG,9400.0,9550.0,9250.0,9300.0,302710.0
2017-03-22,HOSE:LDG,9200.0,9380.0,8800.0,8800.0,724370.0
2017-03-23,HOSE:LDG,8700.0,9130.0,8500.0,9130.0,645400.0
2017-03-24,HOSE:LDG,9420.0,9500.0,9000.0,9370.0,431570.0
2017-03-27,HOSE:LDG,9430.0,9430.0,9300.0,9390.0,639690.0
2017-03-28,HOSE:LDG,9390.0,9560.0,9330.0,9400.0,540400.0
2017-03-29,HOSE:LDG,9430.0,9450.0,9180.0,9180.0,228690.0
2017-03-30,HOSE:LDG,9200.0,9380.0,9000.0,9000.0,783720.0
2017-03-31,HOSE:LDG,9120.0,9250.0,8900.0,9160.0,522510.0
2017-04-03,HOSE:LDG,9000.0,9800.0,9000.0,9690.0,1087270.0
2017-04-04,HOSE:LDG,9750.0,10000.0,9400.0,9400.0,1061800.0
2017-04-05,HOSE:LDG,9700.0,9980.0,9700.0,9900.0,1260250.0
2017-04-07,HOSE:LDG,10400.0,10550.0,10300.0,10550.0,1386600.0
2017-04-10,HOSE:LDG,11250.0,11250.0,11250.0,11250.0,748650.0
2017-04-11,HOSE:LDG,11800.0,12000.0,11500.0,11550.0,2217970.0
2017-04-12,HOSE:LDG,11500.0,12350.0,11500.0,12100.0,1636950.0
2017-04-13,HOSE:LDG,12500.0,12500.0,11800.0,11800.0,667640.0
2017-04-14,HOSE:LDG,11500.0,12600.0,11300.0,12400.0,2990190.0
2017-04-17,HOSE:LDG,12800.0,12950.0,12200.0,12300.0,1495320.0
2017-04-18,HOSE:LDG,12300.0,12450.0,11450.0,11900.0,1460370.0
