date,symbol,open,high,low,close,volume
2017-02-02,HOSE:OGC,1300.0,1330.0,1270.0,1300.0,2356440.0
2017-02-03,HOSE:OGC,1260.0,1360.0,1260.0,1320.0,2321810.0
2017-02-06,HOSE:OGC,1300.0,1410.0,1300.0,1410.0,5036740.0
2017-02-07,HOSE:OGC,1410.0,1500.0,1390.0,1400.0,6167770.0
2017-02-08,HOSE:OGC,1380.0,1470.0,1370.0,1460.0,4536830.0
2017-02-09,HOSE:OGC,1420.0,1480.0,1370.0,1440.0,7260890.0
2017-02-10,HOSE:OGC,1380.0,1520.0,1370.0,1430.0,6795240.0
2017-02-13,HOSE:OGC,1430.0,1430.0,1340.0,1370.0,7113670.0
2017-02-14,HOSE:OGC,1370.0,1460.0,1360.0,1460.0,10848770.0
2017-02-15,HOSE:OGC,1500.0,1560.0,1490.0,1510.0,8061910.0
2017-02-16,HOSE:OGC,1500.0,1540.0,1470.0,1470.0,4224590.0
2017-02-17,HOSE:OGC,1440.0,1470.0,1420.0,1440.0,3553220.0
2017-02-20,HOSE:OGC,1430.0,1450.0,1400.0,1410.0,3525390.0
2017-02-21,HOSE:OGC,1410.0,1450.0,1400.0,1430.0,3321880.0
2017-02-22,HOSE:OGC,1440.0,1440.0,1400.0,1420.0,2405410.0
2017-02-23,HOSE:OGC,1410.0,1420.0,1390.0,1410.0,1533100.0
2017-02-24,HOSE:OGC,1400.0,1500.0,1400.0,1460.0,7607520.0
2017-02-27,HOSE:OGC,1450.0,1460.0,1400.0,1400.0,1846490.0
2017-02-28,HOSE:OGC,1400.0,1460.0,1400.0,1420.0,3491320.0
2017-03-01,HOSE:OGC,1410.0,1430.0,1390.0,1400.0,2546820.0
2017-03-02,HOSE:OGC,1400.0,1420.0,1390.0,1390.0,1479720.0
2017-03-03,HOSE:OGC,1390.0,1390.0,1340.0,1350.0,3629370.0
2017-03-06,HOSE:OGC,1350.0,1380.0,1340.0,1340.0,2018460.0
2017-03-07,HOSE:OGC,1340.0,1360.0,1340.0,1360.0,995690.0
2017-03-08,HOSE:OGC,1360.0,1370.0,1350.0,1350.0,918330.0
2017-03-09,HOSE:OGC,1400.0,1440.0,1390.0,1440.0,7090020.0
2017-03-10,HOSE:OGC,1530.0,1530.0,1400.0,1400.0,6834960.0
2017-03-13,HOSE:OGC,1400.0,1420.0,1370.0,1390.0,1160450.0
2017-03-14,HOSE:OGC,1380.0,1390.0,1360.0,1370.0,2517510.0
2017-03-15,HOSE:OGC,1360.0,1380.0,1350.0,1350.0,3398440.0
2017-03-16,HOSE:OGC,1350.0,1390.0,1350.0,1390.0,1469320.0
2017-03-17,HOSE:OGC,1390.0,1390.0,1360.0,1360.0,1094900.0
2017-03-20,HOSE:OGC,1380.0,1390.0,1350.0,1360.0,2638940.0
2017-03-21,HOSE:OGC,1360.0,1370.0,1350.0,1360.0,1958270.0
2017-03-22,HOSE:OGC,1360.0,1370.0,1350.0,1360.0,3436100.0
2017-03-23,HOSE:OGC,1360.0,1360.0,1340.0,1360.0,1045570.0
2017-03-24,HOSE:OGC,1360.0,1370.0,1350.0,1370.0,1547730.0
2017-03-27,HOSE:OGC,1370.0,1370.0,1330.0,1340.0,1959280.0
2017-03-28,HOSE:OGC,1350.0,1360.0,1330.0,1350.0,2448490.0
2017-03-29,HOSE:OGC,1350.0,1360.0,1320.0,1320.0,2543950.0
2017-03-30,HOSE:OGC,1340.0,1340.0,1320.0,1340.0,995370.0
2017-03-31,HOSE:OGC,1330.0,1340.0,1310.0,1330.0,1656900.0
2017-04-03,HOSE:OGC,1330.0,1330.0,1290.0,1300.0,2236150.0
2017-04-04,HOSE:OGC,1300.0,1300.0,1270.0,1270.0,1933090.0
2017-04-05,HOSE:OGC,1270.0,1290.0,1260.0,1270.0,1568740.0
2017-04-07,HOSE:OGC,1260.0,1270.0,1250.0,1270.0,2764060.0
2017-04-10,HOSE:OGC,1250.0,1260.0,1250.0,1260.0,1649610.0
2017-04-11,HOSE:OGC,1250.0,1270.0,1240.0,1260.0,1600120.0
