date,symbol,open,high,low,close,volume
2017-02-02,HOSE:PET,10300.0,10500.0,10300.0,10400.0,79160.0
2017-02-03,HOSE:PET,10400.0,10500.0,10350.0,10400.0,546720.0
2017-02-06,HOSE:PET,10400.0,10550.0,10400.0,10500.0,126720.0
2017-02-07,HOSE:PET,10500.0,10550.0,10400.0,10500.0,185950.0
2017-02-08,HOSE:PET,10500.0,10550.0,10450.0,10550.0,73080.0
2017-02-09,HOSE:PET,10550.0,10600.0,10450.0,10450.0,243190.0
2017-02-10,HOSE:PET,10450.0,10750.0,10450.0,10600.0,371280.0
2017-02-13,HOSE:PET,10600.0,10650.0,10600.0,10650.0,292200.0
2017-02-14,HOSE:PET,10650.0,11000.0,10650.0,10850.0,640110.0
2017-02-15,HOSE:PET,10850.0,10950.0,10800.0,10800.0,166490.0
2017-02-16,HOSE:PET,10800.0,11000.0,10750.0,10800.0,279610.0
2017-02-17,HOSE:PET,10900.0,10900.0,10750.0,10800.0,180460.0
2017-02-20,HOSE:PET,10750.0,10800.0,10650.0,10750.0,229240.0
2017-02-21,HOSE:PET,10700.0,10950.0,10700.0,10850.0,417130.0
2017-02-22,HOSE:PET,10950.0,11300.0,10950.0,11250.0,809280.0
2017-02-23,HOSE:PET,11200.0,11300.0,11050.0,11100.0,211740.0
2017-02-24,HOSE:PET,11100.0,11150.0,10950.0,11000.0,228010.0
2017-02-27,HOSE:PET,11000.0,11150.0,10900.0,11000.0,289500.0
2017-02-28,HOSE:PET,10950.0,11200.0,10850.0,10900.0,135330.0
2017-03-01,HOSE:PET,10900.0,10950.0,10700.0,10850.0,330430.0
2017-03-02,HOSE:PET,10950.0,10950.0,10750.0,10850.0,170960.0
2017-03-03,HOSE:PET,10800.0,10900.0,10750.0,10800.0,244470.0
2017-03-06,HOSE:PET,10800.0,10950.0,10800.0,10800.0,142450.0
2017-03-07,HOSE:PET,10850.0,10900.0,10800.0,10850.0,190650.0
2017-03-08,HOSE:PET,10900.0,10950.0,10900.0,10900.0,187760.0
2017-03-09,HOSE:PET,10950.0,10950.0,10800.0,10900.0,191550.0
2017-03-10,HOSE:PET,10900.0,11050.0,10800.0,10800.0,228620.0
2017-03-13,HOSE:PET,10700.0,10800.0,10600.0,10600.0,242070.0
2017-03-14,HOSE:PET,10650.0,10700.0,10600.0,10600.0,230050.0
2017-03-15,HOSE:PET,10600.0,10750.0,10550.0,10600.0,106140.0
2017-03-16,HOSE:PET,10600.0,10800.0,10600.0,10800.0,82000.0
2017-03-17,HOSE:PET,10700.0,10800.0,10650.0,10700.0,96000.0
2017-03-20,HOSE:PET,10700.0,10850.0,10700.0,10700.0,176160.0
2017-03-21,HOSE:PET,10800.0,10800.0,10700.0,10750.0,88460.0
2017-03-22,HOSE:PET,10800.0,10800.0,10700.0,10750.0,231500.0
2017-03-23,HOSE:PET,10700.0,10750.0,10650.0,10700.0,142770.0
