date,symbol,open,high,low,close,volume
2017-02-02,HOSE:PHR,29500.0,30400.0,29350.0,29700.0,1422530.0
2017-02-03,HOSE:PHR,29400.0,29700.0,28900.0,29300.0,1152030.0
2017-02-06,HOSE:PHR,28900.0,29500.0,28850.0,29350.0,753620.0
2017-02-07,HOSE:PHR,29200.0,30100.0,29100.0,29750.0,1950710.0
2017-02-08,HOSE:PHR,30200.0,30700.0,30100.0,30400.0,1238620.0
2017-02-09,HOSE:PHR,30300.0,30550.0,30100.0,30100.0,495030.0
2017-02-10,HOSE:PHR,30000.0,31400.0,29900.0,31200.0,1716530.0
2017-02-13,HOSE:PHR,32100.0,32600.0,31700.0,32200.000000000004,1066320.0
2017-02-14,HOSE:PHR,31400.0,32000.0,30800.0,30800.0,2754580.0
2017-02-15,HOSE:PHR,31000.0,31900.0,31000.0,31500.0,1211150.0
2017-02-16,HOSE:PHR,31850.0,33650.0,31600.0,31900.0,1300320.0
2017-02-17,HOSE:PHR,32000.0,32800.0,31400.0,32000.0,1999800.0
2017-02-20,HOSE:PHR,31200.0,31750.0,31200.0,31650.0,973330.0
2017-02-21,HOSE:PHR,32000.0,32800.0,31800.0,31900.0,1224050.0
2017-02-22,HOSE:PHR,31600.0,31650.0,31000.0,31200.0,1029860.0
2017-02-23,HOSE:PHR,31500.0,31900.0,30250.0,30250.0,1407170.0
2017-02-24,HOSE:PHR,30050.0,30250.0,29400.0,29400.0,1073100.0
2017-02-27,HOSE:PHR,29600.0,30300.0,29600.0,29950.0,551020.0
2017-02-28,HOSE:PHR,29800.0,30000.0,28500.0,28500.0,979830.0
2017-03-01,HOSE:PHR,29100.0,29700.0,28500.0,29600.0,792190.0
2017-03-02,HOSE:PHR,30400.0,30800.0,29850.0,30300.0,552980.0
2017-03-03,HOSE:PHR,30100.0,30700.0,29900.0,30600.0,362300.0
2017-03-06,HOSE:PHR,31000.0,31600.0,30800.0,31500.0,848860.0
2017-03-07,HOSE:PHR,31400.0,31400.0,30600.0,30950.0,1071830.0
2017-03-08,HOSE:PHR,30000.0,30400.0,29800.0,29900.0,751400.0
2017-03-09,HOSE:PHR,29600.0,30300.0,29600.0,29950.0,696530.0
2017-03-10,HOSE:PHR,30300.0,30400.0,29950.0,29950.0,345470.0
2017-03-13,HOSE:PHR,30000.0,30000.0,29250.0,29700.0,396160.0
2017-03-14,HOSE:PHR,29900.0,30300.0,29700.0,29700.0,333970.0
2017-03-15,HOSE:PHR,29900.0,29900.0,29400.0,29600.0,394040.0
2017-03-16,HOSE:PHR,29850.0,30600.0,29700.0,30350.0,687310.0
2017-03-17,HOSE:PHR,30600.0,31200.0,30350.0,30450.0,430040.0
2017-03-20,HOSE:PHR,30450.0,30450.0,29750.0,29750.0,475640.0
2017-03-21,HOSE:PHR,30000.0,30000.0,29000.0,29100.0,882780.0
2017-03-22,HOSE:PHR,28600.0,28900.0,27300.0,27300.0,1589050.0
2017-03-23,HOSE:PHR,27500.0,28100.0,27500.0,27700.0,320390.0
2017-03-24,HOSE:PHR,27700.0,27700.0,26200.0,26500.0,649680.0
2017-03-27,HOSE:PHR,25100.0,26000.0,25100.0,26000.0,1113870.0
2017-03-28,HOSE:PHR,26800.0,27200.0,26700.0,26750.0,361910.0
2017-03-29,HOSE:PHR,27200.0,27250.0,26500.0,26750.0,397160.0
2017-03-30,HOSE:PHR,26750.0,26950.0,26200.0,26800.0,366790.0
2017-03-31,HOSE:PHR,27000.0,27050.0,26350.0,26700.0,194830.0
2017-04-03,HOSE:PHR,26700.0,26700.0,26200.0,26200.0,466350.0
2017-04-04,HOSE:PHR,26000.0,26000.0,25550.0,25800.0,567970.0
2017-04-05,HOSE:PHR,26200.0,27000.0,26200.0,26800.0,319570.0
2017-04-07,HOSE:PHR,26550.0,26550.0,26050.0,26200.0,264130.0
2017-04-10,HOSE:PHR,27200.0,27700.0,27000.0,27500.0,585090.0
2017-04-11,HOSE:PHR,27500.0,27800.0,26950.0,27300.0,466870.0
2017-04-12,HOSE:PHR,27300.0,27300.0,26700.0,26700.0,279540.0
2017-04-13,HOSE:PHR,26400.0,27200.0,26400.0,26700.0,208610.0
2017-04-14,HOSE:PHR,26800.0,26800.0,25750.0,25800.0,558510.0
2017-04-17,HOSE:PHR,26000.0,26200.0,25400.0,25400.0,426010.0
2017-04-18,HOSE:PHR,25400.0,25400.0,24500.0,25300.0,318720.0
2017-04-19,HOSE:PHR,24600.0,24900.0,24200.0,24900.0,408520.0
