date,symbol,open,high,low,close,volume
2017-02-02,HNX:PVS,17700.0,17900.0,17400.0,17500.0,419270.0
2017-02-03,HNX:PVS,17600.0,17800.0,17500.0,17600.0,900964.0
2017-02-06,HNX:PVS,17500.0,18600.0,17400.0,18300.0,2584560.0
2017-02-07,HNX:PVS,18200.0,18600.0,18000.0,18200.0,1700455.0
2017-02-08,HNX:PVS,18000.0,18200.0,17800.0,17800.0,1492591.0
2017-02-09,HNX:PVS,17800.0,18200.0,17800.0,17900.0,1695944.0
2017-02-10,HNX:PVS,18000.0,18600.0,18000.0,18400.0,2389694.0
2017-02-13,HNX:PVS,18600.0,19400.0,18600.0,19400.0,3152891.0
2017-02-14,HNX:PVS,19300.0,19700.0,19000.0,19400.0,3476608.0
2017-02-15,HNX:PVS,19400.0,19500.0,19200.0,19200.0,1486612.0
2017-02-16,HNX:PVS,19200.0,19400.0,18800.0,18900.0,3979379.0
2017-02-17,HNX:PVS,18800.0,19000.0,18600.0,18800.0,2151336.0
2017-02-20,HNX:PVS,18900.0,19500.0,18800.0,19400.0,2628910.0
2017-02-21,HNX:PVS,19400.0,19500.0,19000.0,19100.0,1590385.0
2017-02-22,HNX:PVS,19300.0,19600.0,19200.0,19300.0,1641630.0
2017-02-23,HNX:PVS,19300.0,19300.0,18900.0,19000.0,1449607.0
2017-02-24,HNX:PVS,19100.0,19200.0,18800.0,19000.0,1490150.0
2017-02-27,HNX:PVS,19000.0,19000.0,18600.0,18800.0,1175483.0
2017-02-28,HNX:PVS,19300.0,19300.0,18500.0,18500.0,1127673.0
2017-03-01,HNX:PVS,18500.0,18500.0,18100.0,18300.0,1548225.0
2017-03-02,HNX:PVS,18500.0,18500.0,18100.0,18100.0,750490.0
2017-03-03,HNX:PVS,18100.0,18100.0,17800.0,17900.0,894617.0
2017-03-06,HNX:PVS,17900.0,18200.0,17800.0,17800.0,722098.0
2017-03-07,HNX:PVS,17900.0,17900.0,17600.0,17800.0,1777802.0
2017-03-08,HNX:PVS,17800.0,18200.0,17700.0,17900.0,668197.0
2017-03-09,HNX:PVS,17900.0,17900.0,17500.0,17600.0,1586844.0
2017-03-10,HNX:PVS,17500.0,17800.0,17400.0,17700.0,1313271.0
2017-03-13,HNX:PVS,17600.0,17700.0,17400.0,17600.0,968312.0
2017-03-14,HNX:PVS,17600.0,17800.0,17600.0,17600.0,398735.0
2017-03-15,HNX:PVS,17600.0,17700.0,17400.0,17500.0,932607.0
2017-03-16,HNX:PVS,17500.0,17700.0,17400.0,17600.0,1444531.0
2017-03-17,HNX:PVS,17600.0,17600.0,17400.0,17500.0,2634968.0
2017-03-20,HNX:PVS,17500.0,17700.0,17400.0,17600.0,1072127.0
2017-03-21,HNX:PVS,17600.0,17800.0,17500.0,17800.0,1306933.0
2017-03-22,HNX:PVS,17600.0,17800.0,17500.0,17500.0,1849356.0
2017-03-23,HNX:PVS,17500.0,17800.0,17500.0,17600.0,1039995.0
2017-03-24,HNX:PVS,17700.0,17800.0,17500.0,17800.0,804975.0
2017-03-27,HNX:PVS,17800.0,17800.0,17500.0,17500.0,1124294.0
2017-03-28,HNX:PVS,17700.0,17700.0,17300.0,17500.0,1055003.0
2017-03-29,HNX:PVS,17600.0,17800.0,17400.0,17500.0,872212.0
2017-03-30,HNX:PVS,17600.0,17700.0,17500.0,17600.0,711288.0
2017-03-31,HNX:PVS,17700.0,17800.0,17600.0,17600.0,1075092.0
2017-04-03,HNX:PVS,17600.0,17700.0,17500.0,17500.0,604440.0
2017-04-04,HNX:PVS,17500.0,17500.0,16600.0,16900.0,3593155.0
2017-04-05,HNX:PVS,17000.0,17200.0,16600.0,16600.0,2456577.0
2017-04-07,HNX:PVS,16800.0,17000.0,16600.0,16800.0,2425180.0
2017-04-10,HNX:PVS,17000.0,17000.0,16800.0,16900.0,973189.0
2017-04-11,HNX:PVS,17000.0,17400.0,17000.0,17200.0,1666723.0
2017-04-12,HNX:PVS,17300.0,17400.0,17100.0,17200.0,1209424.0
2017-04-13,HNX:PVS,17200.0,17200.0,16900.0,16900.0,570359.0
2017-04-14,HNX:PVS,16900.0,16900.0,16500.0,16700.0,1032191.0
2017-04-17,HNX:PVS,16800.0,16800.0,16400.0,16400.0,1072864.0
2017-04-18,HNX:PVS,16400.0,16700.0,16300.0,16700.0,722346.0
2017-04-19,HNX:PVS,16700.0,16700.0,16500.0,16600.0,368365.0
2017-04-20,HNX:PVS,16500.0,16500.0,16300.0,16300.0,770537.0
2017-04-21,HNX:PVS,16300.0,16500.0,16300.0,16300.0,274518.0
2017-04-24,HNX:PVS,16300.0,16900.0,16300.0,16700.0,832008.0
2017-04-25,HNX:PVS,16700.0,16800.0,16600.0,16600.0,430958.0
2017-04-26,HNX:PVS,16600.0,17000.0,16500.0,16800.0,938363.0
2017-04-27,HNX:PVS,16800.0,18000.0,16800.0,17700.0,3550807.0
2017-04-28,HNX:PVS,17800.0,17900.0,17100.0,17200.0,1226554.0
2017-05-03,HNX:PVS,17200.0,17200.0,16400.0,16700.0,986560.0
