date,symbol,open,high,low,close,volume
2017-02-02,HOSE:SGT,3200.0,3290.0,3150.0,3150.0,17720.0
2017-02-03,HOSE:SGT,3370.0,3370.0,3370.0,3370.0,10.0
2017-02-06,HOSE:SGT,3600.0,3600.0,3600.0,3600.0,80.0
2017-02-07,HOSE:SGT,3850.0,3850.0,3850.0,3850.0,3120.0
2017-02-08,HOSE:SGT,4110.0,4110.0,4110.0,4110.0,4920.0
2017-02-09,HOSE:SGT,4390.0,4390.0,4380.0,4390.0,17980.0
2017-02-10,HOSE:SGT,4690.0,4690.0,4690.0,4690.0,10280.0
2017-02-13,HOSE:SGT,5010.0,5010.0,5010.0,5010.0,4550.0
2017-02-14,HOSE:SGT,5360.0,5360.0,5360.0,5360.0,4660.0
2017-02-15,HOSE:SGT,5730.0,5730.0,5730.0,5730.0,1450.0
2017-02-16,HOSE:SGT,6130.0,6130.0,6130.0,6130.0,17760.0
2017-02-17,HOSE:SGT,6550.0,6550.0,6100.0,6550.0,114230.0
2017-02-20,HOSE:SGT,7000.0,7000.0,6500.0,7000.0,51270.0
2017-02-21,HOSE:SGT,7150.0,7150.0,7000.0,7000.0,13490.0
2017-02-22,HOSE:SGT,6510.0,6510.0,6510.0,6510.0,3620.0
2017-02-23,HOSE:SGT,6060.0,6060.0,6060.0,6060.0,5810.0
2017-02-24,HOSE:SGT,5640.0,5640.0,5640.0,5640.0,3730.0
2017-02-27,HOSE:SGT,5250.0,6030.0,5250.0,5250.0,37720.0
2017-02-28,HOSE:SGT,5550.0,5610.0,5510.0,5610.0,15870.0
2017-03-01,HOSE:SGT,6000.0,6000.0,5610.0,6000.0,6350.0
2017-03-02,HOSE:SGT,5580.0,6200.0,5580.0,5580.0,7500.0
2017-03-03,HOSE:SGT,5250.0,5700.0,5190.0,5700.0,5780.0
2017-03-06,HOSE:SGT,5700.0,5700.0,5310.0,5310.0,4120.0
2017-03-07,HOSE:SGT,5130.0,5130.0,5000.0,5100.0,8520.0
2017-03-08,HOSE:SGT,5100.0,5100.0,4850.0,5000.0,3600.0
2017-03-09,HOSE:SGT,5200.0,5200.0,4860.0,5200.0,30.0
2017-03-10,HOSE:SGT,5100.0,5100.0,4950.0,5100.0,2020.0
2017-03-13,HOSE:SGT,5200.0,5200.0,5200.0,5200.0,10.0
2017-03-14,HOSE:SGT,5140.0,5140.0,4840.0,5120.0,26090.0
2017-03-15,HOSE:SGT,5290.0,5290.0,4770.0,5120.0,1140.0
2017-03-16,HOSE:SGT,4800.0,5150.0,4800.0,5150.0,2240.0
2017-03-17,HOSE:SGT,4790.0,5100.0,4790.0,5000.0,3270.0
2017-03-20,HOSE:SGT,4720.0,5100.0,4720.0,5100.0,1490.0
2017-03-21,HOSE:SGT,5000.0,5000.0,4800.0,5000.0,3180.0
2017-03-22,HOSE:SGT,5000.0,5150.0,4900.0,5100.0,5960.0
2017-03-23,HOSE:SGT,5000.0,5100.0,5000.0,5100.0,30.0
2017-03-24,HOSE:SGT,5200.0,5200.0,4910.0,4910.0,2560.0
2017-03-27,HOSE:SGT,4910.0,5100.0,4900.0,5100.0,10720.0
2017-03-28,HOSE:SGT,5100.0,5100.0,4910.0,4910.0,7240.0
2017-03-29,HOSE:SGT,4910.0,5200.0,4900.0,5000.0,1790.0
2017-03-30,HOSE:SGT,5000.0,5000.0,4950.0,4950.0,1390.0
2017-03-31,HOSE:SGT,4950.0,5000.0,4950.0,4950.0,670.0
2017-04-03,HOSE:SGT,5000.0,5100.0,5000.0,5100.0,5070.0
2017-04-04,HOSE:SGT,5100.0,5150.0,5000.0,5150.0,4400.0
2017-04-05,HOSE:SGT,5200.0,5200.0,4850.0,5000.0,1130.0
2017-04-07,HOSE:SGT,4900.0,5000.0,4900.0,4910.0,1470.0
2017-04-10,HOSE:SGT,5200.0,5200.0,5200.0,5200.0,10.0
2017-04-11,HOSE:SGT,5200.0,5200.0,5200.0,5200.0,50.0
2017-04-12,HOSE:SGT,5000.0,5000.0,4900.0,4900.0,4500.0
2017-04-13,HOSE:SGT,5200.0,5200.0,5000.0,5000.0,4050.0
2017-04-14,HOSE:SGT,5100.0,5100.0,4700.0,5100.0,7150.0
2017-04-17,HOSE:SGT,5000.0,5140.0,5000.0,5000.0,1700.0
2017-04-18,HOSE:SGT,5000.0,5080.0,4920.0,5080.0,710.0
2017-04-19,HOSE:SGT,4950.0,5140.0,4950.0,5140.0,1010.0
2017-04-20,HOSE:SGT,4950.0,5210.0,4900.0,5210.0,10120.0
2017-04-21,HOSE:SGT,5250.0,5300.0,5250.0,5300.0,1120.0
2017-04-24,HOSE:SGT,5300.0,5300.0,5200.0,5200.0,1020.0
2017-04-25,HOSE:SGT,5000.0,5200.0,5000.0,5200.0,1500.0
2017-04-26,HOSE:SGT,5000.0,5000.0,5000.0,5000.0,4810.0
2017-04-27,HOSE:SGT,5170.0,5170.0,5170.0,5170.0,100.0
2017-04-28,HOSE:SGT,5050.0,5050.0,4900.0,4910.0,3840.0
2017-05-03,HOSE:SGT,5250.0,5250.0,5250.0,5250.0,60.0
