date,symbol,open,high,low,close,volume
2017-02-02,HOSE:SHB,4800.0,4800.0,4700.0,4700.0,1820910.0
2017-02-03,HOSE:SHB,4700.0,4900.0,4700.0,4900.0,4805766.0
2017-02-06,HOSE:SHB,4900.0,5200.0,4900.0,5100.0,8008343.0
2017-02-07,HOSE:SHB,5100.0,5200.0,5000.0,5000.0,2513410.0
2017-02-08,HOSE:SHB,5000.0,5100.0,5000.0,5000.0,3353532.0
2017-02-09,HOSE:SHB,5100.0,5100.0,5000.0,5100.0,3072207.0
2017-02-10,HOSE:SHB,5100.0,5200.0,5000.0,5000.0,3664562.0
2017-02-13,HOSE:SHB,5000.0,5100.0,4900.0,5100.0,4149093.0
2017-02-14,HOSE:SHB,5100.0,5100.0,5000.0,5000.0,6680356.0
2017-02-15,HOSE:SHB,5000.0,5100.0,5000.0,5000.0,2976631.0
2017-02-16,HOSE:SHB,5000.0,5300.0,5000.0,5100.0,8387018.0
2017-02-17,HOSE:SHB,5100.0,5200.0,5000.0,5100.0,4161091.0
2017-02-20,HOSE:SHB,5100.0,5200.0,5000.0,5100.0,3575077.0
2017-02-21,HOSE:SHB,5100.0,5300.0,5100.0,5200.0,6353780.0
2017-02-22,HOSE:SHB,5200.0,5200.0,5100.0,5100.0,2198845.0
2017-02-23,HOSE:SHB,5100.0,5200.0,5000.0,5100.0,3073740.0
2017-02-24,HOSE:SHB,5100.0,5200.0,5000.0,5000.0,5281077.0
2017-02-27,HOSE:SHB,5000.0,5200.0,5000.0,5100.0,5233349.0
2017-02-28,HOSE:SHB,5200.0,5500.0,5200.0,5300.0,12605709.0
2017-03-01,HOSE:SHB,5400.0,5400.0,5200.0,5300.0,4187312.0
2017-03-02,HOSE:SHB,5300.0,5300.0,5200.0,5200.0,3770490.0
2017-03-03,HOSE:SHB,5200.0,5300.0,5100.0,5100.0,4198454.0
2017-03-06,HOSE:SHB,5200.0,5200.0,5000.0,5100.0,3546102.0
2017-03-07,HOSE:SHB,5100.0,5200.0,5000.0,5100.0,9827093.0
2017-03-08,HOSE:SHB,5100.0,5200.0,5000.0,5100.0,3619325.0
2017-03-09,HOSE:SHB,5000.0,5200.0,5000.0,5100.0,2565514.0
2017-03-10,HOSE:SHB,5100.0,5200.0,5000.0,5100.0,2363937.0
2017-03-13,HOSE:SHB,5100.0,5200.0,5000.0,5000.0,4027495.0
2017-03-14,HOSE:SHB,5000.0,5100.0,5000.0,5000.0,4899958.0
2017-03-15,HOSE:SHB,5000.0,5100.0,4900.0,5000.0,3158726.0
2017-03-16,HOSE:SHB,4500.0,5100.0,4500.0,5000.0,2582190.0
2017-03-17,HOSE:SHB,4900.0,5200.0,4900.0,5000.0,10660124.0
2017-03-20,HOSE:SHB,5100.0,5200.0,5000.0,5100.0,3389089.0
2017-03-21,HOSE:SHB,5100.0,5200.0,5000.0,5100.0,3119644.0
2017-03-22,HOSE:SHB,5100.0,5200.0,5000.0,5100.0,4597969.0
2017-03-23,HOSE:SHB,5100.0,5200.0,5000.0,5200.0,3855307.0
2017-03-24,HOSE:SHB,5200.0,5700.0,5100.0,5700.0,24788344.0
2017-03-27,HOSE:SHB,5800.0,6200.0,5700.0,6100.0,15225451.0
2017-03-28,HOSE:SHB,5500.0,6100.0,5500.0,5800.0,6733559.0
2017-03-29,HOSE:SHB,5800.0,5900.0,5700.0,5800.0,7917683.0
2017-03-30,HOSE:SHB,5800.0,6000.0,5700.0,5900.0,4945965.0
2017-03-31,HOSE:SHB,5900.0,5900.0,5600.0,5700.0,4078768.0
2017-04-03,HOSE:SHB,5700.0,5900.0,5600.0,5800.0,4318137.0
2017-04-04,HOSE:SHB,5800.0,6000.0,5800.0,6000.0,14686058.0
2017-04-05,HOSE:SHB,6000.0,6000.0,5800.0,5800.0,4318809.0
2017-04-07,HOSE:SHB,5800.0,5900.0,5600.0,5800.0,7582509.0
2017-04-10,HOSE:SHB,5800.0,6300.0,5800.0,6300.0,27194165.0
2017-04-11,HOSE:SHB,6400.0,6900.0,6400.0,6800.0,35619740.0
2017-04-12,HOSE:SHB,6800.0,6900.0,6600.0,6900.0,14435005.0
2017-04-13,HOSE:SHB,6800.0,7400.0,6700.0,7400.0,16944093.0
2017-04-14,HOSE:SHB,7400.0,7600.0,7000.0,7600.0,16133989.0
2017-04-17,HOSE:SHB,7600.0,7800.0,7100.0,7200.0,20644228.0
2017-04-18,HOSE:SHB,7200.0,7500.0,6900.0,7400.0,28742623.0
2017-04-19,HOSE:SHB,7400.0,7800.0,7300.0,7500.0,23694941.0
2017-04-20,HOSE:SHB,7500.0,7600.0,7000.0,7300.0,24829764.0
2017-04-21,HOSE:SHB,7300.0,7600.0,7200.0,7600.0,15961582.0
2017-04-24,HOSE:SHB,7600.0,7700.0,7400.0,7500.0,14012966.0
2017-04-25,HOSE:SHB,7500.0,7600.0,7200.0,7600.0,25801510.0
2017-04-26,HOSE:SHB,7300.0,7700.0,7300.0,7400.0,21856348.0
2017-04-27,HOSE:SHB,7400.0,7800.0,7300.0,7500.0,20099769.0
2017-04-28,HOSE:SHB,7500.0,7600.0,7300.0,7500.0,17605885.0
2017-05-03,HOSE:SHB,7500.0,7600.0,7200.0,7500.0,18029631.0
2017-05-04,HOSE:SHB,7300.0,7500.0,7100.0,7100.0,14850767.0
2017-05-05,HOSE:SHB,7200.0,7400.0,7000.0,7300.0,11535183.0
2017-05-08,HOSE:SHB,7200.0,7200.0,6800.0,7000.0,7483855.0
2017-05-09,HOSE:SHB,7000.0,7200.0,6800.0,7000.0,10874243.0
2017-05-10,HOSE:SHB,6300.0,7100.0,6300.0,6800.0,12942536.0
2017-05-11,HOSE:SHB,6900.0,7000.0,6700.0,6800.0,8556072.0
2017-05-12,HOSE:SHB,6800.0,6900.0,6600.0,6700.0,9939655.0
2017-05-15,HOSE:SHB,6700.0,6700.0,6500.0,6700.0,8202242.0
2017-05-16,HOSE:SHB,6700.0,6900.0,6600.0,6800.0,19638571.0
2017-05-17,HOSE:SHB,6800.0,7000.0,6700.0,7000.0,14822276.0
2017-05-18,HOSE:SHB,7000.0,7300.0,6900.0,6900.0,16689324.0
2017-05-19,HOSE:SHB,6900.0,7000.0,6800.0,6900.0,11819317.0
2017-05-22,HOSE:SHB,7000.0,7400.0,6900.0,7100.0,19340103.0
2017-05-23,HOSE:SHB,7100.0,7100.0,6800.0,6800.0,11902744.0
2017-05-24,HOSE:SHB,6900.0,7200.0,6800.0,7000.0,22019339.0
2017-05-25,HOSE:SHB,7000.0,7300.0,6900.0,7100.0,15777098.0
2017-05-26,HOSE:SHB,7100.0,7100.0,6900.0,7000.0,9427971.0
2017-05-29,HOSE:SHB,7000.0,7100.0,6900.0,6900.0,8074843.0
2017-05-30,HOSE:SHB,6900.0,7200.0,6900.0,6900.0,19037731.0
2017-05-31,HOSE:SHB,6900.0,7500.0,6900.0,7200.0,31173275.0
2017-06-01,HOSE:SHB,7300.0,7400.0,7100.0,7200.0,11374803.0
2017-06-02,HOSE:SHB,7300.0,7400.0,7100.0,7300.0,20480998.0
2017-06-05,HOSE:SHB,7300.0,7500.0,7300.0,7400.0,14925913.0
2017-06-06,HOSE:SHB,7400.0,7400.0,7200.0,7300.0,20475670.0
2017-06-07,HOSE:SHB,7300.0,7600.0,7300.0,7400.0,27471320.0
2017-06-08,HOSE:SHB,7500.0,7500.0,7200.0,7300.0,12993829.0
2017-06-09,HOSE:SHB,7300.0,7400.0,7200.0,7200.0,11147655.0
2017-06-12,HOSE:SHB,7200.0,7300.0,7100.0,7100.0,11084602.0
2017-06-13,HOSE:SHB,7200.0,7300.0,7000.0,7200.0,11504911.0
2017-06-14,HOSE:SHB,7200.0,7300.0,7200.0,7300.0,10058106.0
2017-06-15,HOSE:SHB,7300.0,7300.0,7200.0,7300.0,10357919.0
2017-06-16,HOSE:SHB,7300.0,7400.0,7200.0,7400.0,7213418.0
2017-06-19,HOSE:SHB,7400.0,7700.0,7300.0,7700.0,23465716.0
2017-06-20,HOSE:SHB,7700.0,8000.0,7700.0,7800.0,21631899.0
2017-06-21,HOSE:SHB,7800.0,7900.0,7600.0,7700.0,21021498.0
2017-06-22,HOSE:SHB,7700.0,7800.0,7400.0,7400.0,14236230.0
2017-06-23,HOSE:SHB,7400.0,7600.0,7400.0,7500.0,11481002.0
2017-06-26,HOSE:SHB,7500.0,7600.0,7400.0,7500.0,8590883.0
2017-06-27,HOSE:SHB,7600.0,7700.0,7500.0,7500.0,9457970.0
2017-06-28,HOSE:SHB,7600.0,7600.0,7500.0,7500.0,8830537.0
2017-06-29,HOSE:SHB,7500.0,7600.0,7400.0,7500.0,6426151.0
2017-06-30,HOSE:SHB,7500.0,7600.0,7500.0,7600.0,7082585.0
2017-07-03,HOSE:SHB,7600.0,8100.0,7600.0,8000.0,27096421.0
2017-07-04,HOSE:SHB,8000.0,8100.0,7900.0,8000.0,11148255.0
2017-07-05,HOSE:SHB,8000.0,8300.0,7900.0,8300.0,12406953.0
2017-07-06,HOSE:SHB,8300.0,8500.0,8200.0,8500.0,14573434.0
2017-07-07,HOSE:SHB,8500.0,8600.0,8100.0,8100.0,26028705.0
2017-07-10,HOSE:SHB,8100.0,8300.0,7800.0,8000.0,24003977.0
2017-07-11,HOSE:SHB,7900.0,8200.0,7900.0,8100.0,10092117.0
2017-07-12,HOSE:SHB,8300.0,8300.0,8100.0,8100.0,5249162.0
2017-07-13,HOSE:SHB,8100.0,8200.0,8000.0,8200.0,8643454.0
2017-07-14,HOSE:SHB,8200.0,8300.0,8100.0,8100.0,11294448.0
2017-07-17,HOSE:SHB,8100.0,8100.0,7800.0,7800.0,12719959.0
2017-07-18,HOSE:SHB,7900.0,7900.0,7600.0,7900.0,7280319.0
2017-07-19,HOSE:SHB,7900.0,8000.0,7800.0,8000.0,6676657.0
2017-07-20,HOSE:SHB,8000.0,8000.0,7800.0,8000.0,4473959.0
2017-07-21,HOSE:SHB,8000.0,8100.0,7800.0,7800.0,6528881.0
2017-07-24,HOSE:SHB,7800.0,7900.0,7600.0,7800.0,14616680.0
2017-07-25,HOSE:SHB,7900.0,7900.0,7700.0,7900.0,9965824.0
2017-07-26,HOSE:SHB,7900.0,8100.0,7900.0,8000.0,10613308.0
2017-07-27,HOSE:SHB,8000.0,8100.0,7900.0,8000.0,4852755.0
2017-07-28,HOSE:SHB,8000.0,8200.0,7900.0,8000.0,22555489.0
2017-07-31,HOSE:SHB,8100.0,8400.0,8100.0,8300.0,19163311.0
2017-08-01,HOSE:SHB,8400.0,8400.0,8200.0,8200.0,6129971.0
2017-08-02,HOSE:SHB,8300.0,8300.0,8000.0,8100.0,14200039.0
2017-08-03,HOSE:SHB,8100.0,8200.0,8000.0,8100.0,9247562.0
2017-08-04,HOSE:SHB,8200.0,8200.0,8000.0,8100.0,5204859.0
2017-08-07,HOSE:SHB,8100.0,8400.0,8000.0,8200.0,15629216.0
2017-08-08,HOSE:SHB,8300.0,8300.0,8100.0,8100.0,6068418.0
2017-08-09,HOSE:SHB,8100.0,8200.0,7800.0,7900.0,18633843.0
2017-08-10,HOSE:SHB,7900.0,8000.0,7800.0,7900.0,7405169.0
2017-08-11,HOSE:SHB,7900.0,8000.0,7800.0,7800.0,4661662.0
2017-08-14,HOSE:SHB,7900.0,8000.0,7800.0,8000.0,3868429.0
2017-08-15,HOSE:SHB,8000.0,8000.0,7900.0,7900.0,5673210.0
2017-08-16,HOSE:SHB,7900.0,8000.0,7800.0,7900.0,4342321.0
2017-08-17,HOSE:SHB,7900.0,8000.0,7800.0,7800.0,10122861.0
