date,symbol,open,high,low,close,volume
2017-02-02,HOSE:SHI,8180.0,8200.0,8160.0,8180.0,154730.0
2017-02-03,HOSE:SHI,8290.0,8400.0,8270.0,8330.0,478050.0
2017-02-06,HOSE:SHI,8360.0,8360.0,8280.0,8280.0,987610.0
2017-02-07,HOSE:SHI,8300.0,8350.0,8160.0,8189.999999999999,634060.0
2017-02-08,HOSE:SHI,8160.0,8220.0,8119.999999999999,8150.0,382740.0
2017-02-09,HOSE:SHI,8130.000000000001,8200.0,8119.999999999999,8170.0,335380.0
2017-02-10,HOSE:SHI,8170.0,8180.0,8130.000000000001,8150.0,338800.0
2017-02-13,HOSE:SHI,8170.0,8170.0,8080.0,8150.0,569460.0
2017-02-14,HOSE:SHI,8150.0,8170.0,8119.999999999999,8170.0,387830.0
2017-02-15,HOSE:SHI,8170.0,8390.0,8170.0,8300.0,862470.0
2017-02-16,HOSE:SHI,8300.0,8500.0,8300.0,8300.0,811150.0
2017-02-17,HOSE:SHI,8280.0,8290.0,8200.0,8260.0,279760.0
2017-02-20,HOSE:SHI,8200.0,8250.0,8180.0,8210.0,377390.0
2017-02-21,HOSE:SHI,8210.0,8350.0,8210.0,8350.0,611140.0
2017-02-22,HOSE:SHI,8400.0,8550.0,8350.0,8490.0,1058680.0
2017-02-23,HOSE:SHI,8550.0,9050.0,8550.0,8810.0,2140360.0
2017-02-24,HOSE:SHI,8810.0,8880.0,8610.0,8610.0,673350.0
2017-02-27,HOSE:SHI,8630.0,8800.0,8630.0,8720.0,396160.0
2017-02-28,HOSE:SHI,8740.0,8890.0,8510.0,8510.0,1008380.0
2017-03-01,HOSE:SHI,8620.0,8630.0,8500.0,8560.0,679180.0
2017-03-02,HOSE:SHI,8600.0,8650.0,8500.0,8520.0,442720.0
2017-03-03,HOSE:SHI,8520.0,8570.0,8500.0,8500.0,511810.0
2017-03-06,HOSE:SHI,8500.0,8600.0,8480.0,8500.0,320280.0
2017-03-07,HOSE:SHI,8500.0,8850.0,8500.0,8850.0,586550.0
2017-03-08,HOSE:SHI,8850.0,8860.0,8710.0,8740.0,732900.0
2017-03-09,HOSE:SHI,8700.0,8750.0,8530.0,8530.0,710620.0
2017-03-10,HOSE:SHI,8530.0,8600.0,8500.0,8500.0,523200.0
2017-03-13,HOSE:SHI,8500.0,8500.0,8450.0,8450.0,478020.0
