date,symbol,open,high,low,close,volume
2017-05-26,HOSE:TCD,12800.0,16900.0,12800.0,15500.0,4343680.0
2017-05-29,HOSE:TCD,16000.0,16000.0,14500.0,14500.0,1043875.0
2017-05-30,HOSE:TCD,14200.0,15500.0,14200.0,15500.0,3730020.0
2017-05-31,HOSE:TCD,15500.0,16000.0,15500.0,15800.0,3516470.0
2017-06-01,HOSE:TCD,15850.0,16300.0,15800.0,15800.0,185790.0
2017-06-02,HOSE:TCD,15300.0,15700.0,15100.0,15300.0,146380.0
2017-06-05,HOSE:TCD,14800.0,15800.0,14500.0,15100.0,363430.0
2017-06-06,HOSE:TCD,15100.0,15350.0,15000.0,15100.0,525100.0
2017-06-07,HOSE:TCD,15500.0,15500.0,15100.0,15100.0,431010.0
2017-06-08,HOSE:TCD,15200.0,15400.0,15000.0,15200.0,352290.0
2017-06-09,HOSE:TCD,15600.0,16250.0,15150.0,16250.0,978270.0
2017-06-12,HOSE:TCD,17100.0,17100.0,16250.0,16800.0,783680.0
2017-06-13,HOSE:TCD,17700.0,17700.0,16600.0,16800.0,265320.0
2017-06-14,HOSE:TCD,16500.0,16900.0,16500.0,16800.0,494460.0
2017-06-15,HOSE:TCD,16800.0,17100.0,16000.0,16800.0,722990.0
2017-06-16,HOSE:TCD,16600.0,17200.0,16550.0,17200.0,413300.0
2017-06-19,HOSE:TCD,16800.0,17000.0,16700.0,16700.0,281890.0
2017-06-20,HOSE:TCD,16600.0,16800.0,16500.0,16700.0,343660.0
2017-06-21,HOSE:TCD,16800.0,17000.0,16700.0,16800.0,714916.0
2017-06-22,HOSE:TCD,17200.0,17950.0,17100.0,17800.0,872996.0
2017-06-23,HOSE:TCD,17650.0,17900.0,17650.0,17800.0,779536.0
2017-06-26,HOSE:TCD,17050.0,18000.0,17050.0,17700.0,847586.0
2017-06-27,HOSE:TCD,17600.0,18200.0,17500.0,17700.0,887206.0
2017-06-28,HOSE:TCD,17700.0,18200.0,17500.0,18000.0,879746.0
2017-06-29,HOSE:TCD,18000.0,18100.0,17600.0,17950.0,781076.0
2017-06-30,HOSE:TCD,17950.0,17950.0,17600.0,17950.0,529220.0
2017-07-03,HOSE:TCD,17750.0,18200.0,17700.0,17950.0,650870.0
2017-07-04,HOSE:TCD,17700.0,18000.0,17650.0,17650.0,599600.0
2017-07-05,HOSE:TCD,17500.0,17800.0,16400.0,17650.0,697610.0
