date,symbol,open,high,low,close,volume
2017-02-02,HOSE:TLH,13300.0,13700.0,13300.0,13600.0,472590.0
2017-02-03,HOSE:TLH,13900.0,14100.0,13750.0,13850.0,1361240.0
2017-02-06,HOSE:TLH,13900.0,13900.0,13650.0,13850.0,964480.0
2017-02-07,HOSE:TLH,13950.0,13950.0,13750.0,13750.0,840770.0
2017-02-08,HOSE:TLH,13900.0,14200.0,13750.0,14000.0,1844590.0
2017-02-09,HOSE:TLH,14100.0,14950.0,14100.0,14900.0,2521860.0
2017-02-10,HOSE:TLH,15200.0,15300.0,14800.0,15000.0,1632020.0
2017-02-13,HOSE:TLH,15100.0,15500.0,15000.0,15450.0,1402710.0
2017-02-14,HOSE:TLH,15700.0,15700.0,15350.0,15450.0,1406110.0
2017-02-15,HOSE:TLH,15400.0,15450.0,15000.0,15100.0,1768650.0
2017-02-16,HOSE:TLH,15250.0,15400.0,14100.0,14100.0,2752620.0
2017-02-17,HOSE:TLH,14300.0,15000.0,14100.0,15000.0,2301240.0
2017-02-20,HOSE:TLH,15100.0,15150.0,14550.0,14650.0,1136940.0
2017-02-21,HOSE:TLH,14600.0,14900.0,14600.0,14600.0,1220190.0
2017-02-22,HOSE:TLH,14700.0,14750.0,14150.0,14350.0,1607520.0
2017-02-23,HOSE:TLH,14300.0,14400.0,13800.0,14050.0,1346990.0
2017-02-24,HOSE:TLH,13850.0,14100.0,13700.0,13800.0,1290130.0
2017-02-27,HOSE:TLH,13800.0,13900.0,13600.0,13750.0,1143180.0
2017-02-28,HOSE:TLH,13750.0,14400.0,13750.0,14400.0,751580.0
2017-03-01,HOSE:TLH,14400.0,14450.0,14000.0,14100.0,656920.0
2017-03-02,HOSE:TLH,14200.0,14400.0,14150.0,14150.0,441250.0
2017-03-03,HOSE:TLH,14150.0,14200.0,13800.0,13900.0,771000.0
2017-03-06,HOSE:TLH,14100.0,14200.0,13700.0,13800.0,1461190.0
2017-03-07,HOSE:TLH,13900.0,14350.0,13750.0,14300.0,1469100.0
2017-03-08,HOSE:TLH,14300.0,14550.0,14150.0,14250.0,1077800.0
2017-03-09,HOSE:TLH,14050.0,14150.0,13850.0,13900.0,957470.0
2017-03-10,HOSE:TLH,13900.0,14100.0,13850.0,13850.0,802860.0
