date,symbol,open,high,low,close,volume
2017-02-02,HOSE:TSC,2450.0,2490.0,2350.0,2470.0,30310.0
2017-02-03,HOSE:TSC,2440.0,2500.0,2440.0,2500.0,426640.0
2017-02-06,HOSE:TSC,2490.0,2500.0,2440.0,2500.0,793840.0
2017-02-07,HOSE:TSC,2500.0,2530.0,2470.0,2480.0,457630.0
2017-02-08,HOSE:TSC,2500.0,2540.0,2480.0,2520.0,423110.0
2017-02-09,HOSE:TSC,2500.0,2530.0,2500.0,2530.0,356530.0
2017-02-10,HOSE:TSC,2520.0,2530.0,2490.0,2530.0,600400.0
2017-02-13,HOSE:TSC,2500.0,2560.0,2490.0,2540.0,994210.0
2017-02-14,HOSE:TSC,2550.0,2710.0,2540.0,2710.0,2670120.0
2017-02-15,HOSE:TSC,2760.0,2820.0,2750.0,2780.0,1802030.0
2017-02-16,HOSE:TSC,2770.0,2790.0,2700.0,2700.0,728670.0
2017-02-17,HOSE:TSC,2660.0,2660.0,2600.0,2650.0,1151450.0
2017-02-20,HOSE:TSC,2620.0,2700.0,2610.0,2670.0,828280.0
2017-02-21,HOSE:TSC,2710.0,2820.0,2700.0,2790.0,1766940.0
2017-02-22,HOSE:TSC,2830.0,2850.0,2770.0,2780.0,1430430.0
2017-02-23,HOSE:TSC,2780.0,2930.0,2720.0,2910.0,1405550.0
2017-02-24,HOSE:TSC,2920.0,3110.0,2900.0,3020.0,2731710.0
2017-02-27,HOSE:TSC,3050.0,3090.0,2920.0,3010.0,1523940.0
2017-02-28,HOSE:TSC,3020.0,3060.0,2980.0,3010.0,985550.0
2017-03-01,HOSE:TSC,3000.0,3010.0,2800.0,2800.0,1941260.0
2017-03-02,HOSE:TSC,2790.0,2850.0,2720.0,2790.0,1059070.0
2017-03-03,HOSE:TSC,2790.0,2830.0,2760.0,2800.0,1106070.0
2017-03-06,HOSE:TSC,2790.0,2910.0,2770.0,2840.0,1002910.0
2017-03-07,HOSE:TSC,2850.0,2950.0,2850.0,2900.0,2048190.0
2017-03-08,HOSE:TSC,2980.0,2980.0,2840.0,2840.0,952190.0
2017-03-09,HOSE:TSC,2830.0,2870.0,2760.0,2760.0,1184830.0
2017-03-10,HOSE:TSC,2760.0,2810.0,2730.0,2740.0,989350.0
2017-03-13,HOSE:TSC,2740.0,2790.0,2700.0,2720.0,755810.0
2017-03-14,HOSE:TSC,2720.0,2780.0,2720.0,2760.0,385500.0
2017-03-15,HOSE:TSC,2730.0,2800.0,2720.0,2730.0,190480.0
2017-03-16,HOSE:TSC,2730.0,2750.0,2720.0,2740.0,260300.0
2017-03-17,HOSE:TSC,2750.0,2790.0,2720.0,2740.0,472990.0
2017-03-20,HOSE:TSC,2750.0,2790.0,2730.0,2730.0,305910.0
2017-03-21,HOSE:TSC,2730.0,2750.0,2710.0,2710.0,763270.0
2017-03-22,HOSE:TSC,2730.0,2730.0,2610.0,2610.0,748150.0
2017-03-23,HOSE:TSC,2610.0,2750.0,2610.0,2700.0,885570.0
2017-03-24,HOSE:TSC,2710.0,2730.0,2670.0,2690.0,577560.0
2017-03-27,HOSE:TSC,2670.0,2730.0,2670.0,2710.0,813620.0
2017-03-28,HOSE:TSC,2720.0,2890.0,2720.0,2890.0,3255660.0
