date,symbol,open,high,low,close,volume
2017-02-02,HOSE:VHC,56500.0,56500.0,55900.0,56200.0,66020.0
2017-02-03,HOSE:VHC,56000.0,56500.0,55600.0,55900.0,133690.0
2017-02-06,HOSE:VHC,55900.0,56000.0,54600.0,54600.0,116610.0
2017-02-07,HOSE:VHC,54600.0,54600.0,52500.0,52500.0,238060.0
2017-02-08,HOSE:VHC,52000.0,52600.0,50100.0,51500.0,322260.0
2017-02-09,HOSE:VHC,51000.0,53500.0,51000.0,53500.0,145480.0
2017-02-10,HOSE:VHC,53800.0,53800.0,52700.0,53100.0,75190.0
2017-02-13,HOSE:VHC,53100.0,53700.0,52600.0,52800.0,124510.0
2017-02-14,HOSE:VHC,52800.0,52800.0,51900.0,52000.0,267370.0
2017-02-15,HOSE:VHC,52300.0,52500.0,51800.0,52000.0,18060.0
2017-02-16,HOSE:VHC,52000.0,53500.0,52000.0,53100.0,104180.0
2017-02-17,HOSE:VHC,53100.0,53400.0,52800.0,52800.0,156590.0
2017-02-20,HOSE:VHC,52800.0,52800.0,51800.0,52600.0,194290.0
2017-02-21,HOSE:VHC,52100.0,52100.0,51000.0,51000.0,119060.0
2017-02-22,HOSE:VHC,51000.0,51000.0,48500.0,48500.0,257680.0
2017-02-23,HOSE:VHC,48500.0,49600.0,48000.0,48400.0,77410.0
2017-02-24,HOSE:VHC,48150.0,49100.0,48000.0,48900.0,83410.0
2017-02-27,HOSE:VHC,49300.0,49300.0,47500.0,48000.0,78540.0
2017-02-28,HOSE:VHC,47500.0,47500.0,46000.0,46000.0,193480.0
2017-03-01,HOSE:VHC,46600.0,47800.0,46000.0,46900.0,46560.0
2017-03-02,HOSE:VHC,47500.0,49000.0,47500.0,49000.0,228520.0
2017-03-03,HOSE:VHC,49800.0,52000.0,49500.0,52000.0,291090.0
2017-03-06,HOSE:VHC,52500.0,53000.0,51600.0,51600.0,140350.0
2017-03-07,HOSE:VHC,51600.0,53100.0,50200.0,52700.0,118270.0
2017-03-08,HOSE:VHC,52700.0,52800.0,52200.0,52300.0,104950.0
2017-03-09,HOSE:VHC,51700.0,52000.0,51000.0,51700.0,28670.0
2017-03-10,HOSE:VHC,51700.0,51900.0,50000.0,51700.0,61140.0
2017-03-13,HOSE:VHC,51100.0,51300.0,50000.0,51300.0,74270.0
2017-03-14,HOSE:VHC,51000.0,51400.0,50500.0,50900.0,74570.0
2017-03-15,HOSE:VHC,51000.0,52300.0,51000.0,52000.0,210970.0
2017-03-16,HOSE:VHC,52200.0,53000.0,52000.0,52600.0,139330.0
2017-03-17,HOSE:VHC,52200.0,52600.0,52000.0,52500.0,190260.0
2017-03-20,HOSE:VHC,52100.0,52700.0,51800.0,52500.0,155630.0
