date,symbol,open,high,low,close,volume
2017-02-02,HOSE:VIX,6300.0,6400.0,6200.0,6300.0,224340.0
2017-02-03,HOSE:VIX,6200.0,6300.0,6000.0,6000.0,228950.0
2017-02-06,HOSE:VIX,5900.0,6300.0,5800.0,6300.0,360229.0
2017-02-07,HOSE:VIX,6200.0,6200.0,6000.0,6100.0,296027.0
2017-02-08,HOSE:VIX,6000.0,6100.0,5900.0,5900.0,401508.0
2017-02-09,HOSE:VIX,5900.0,6000.0,5900.0,6000.0,221820.0
2017-02-10,HOSE:VIX,5900.0,6000.0,5800.0,5900.0,149000.0
2017-02-13,HOSE:VIX,5900.0,6100.0,5900.0,6100.0,170210.0
2017-02-14,HOSE:VIX,6100.0,6100.0,5800.0,5800.0,194400.0
2017-02-15,HOSE:VIX,6000.0,6000.0,5700.0,5800.0,37550.0
2017-02-16,HOSE:VIX,5900.0,6000.0,5800.0,5800.0,64151.0
2017-02-17,HOSE:VIX,5800.0,6000.0,5700.0,6000.0,71575.0
2017-02-20,HOSE:VIX,5900.0,6200.0,5900.0,6100.0,212406.0
2017-02-21,HOSE:VIX,6100.0,6200.0,6000.0,6200.0,151434.0
2017-02-22,HOSE:VIX,6100.0,6400.0,6000.0,6300.0,733732.0
2017-02-23,HOSE:VIX,6300.0,6400.0,6200.0,6300.0,303600.0
2017-02-24,HOSE:VIX,6200.0,6400.0,6000.0,6000.0,333173.0
2017-02-27,HOSE:VIX,6000.0,6200.0,6000.0,6200.0,313131.0
2017-02-28,HOSE:VIX,6200.0,6300.0,6000.0,6100.0,435562.0
2017-03-01,HOSE:VIX,6000.0,6100.0,5900.0,6000.0,305125.0
2017-03-02,HOSE:VIX,6000.0,6100.0,5900.0,6000.0,167496.0
2017-03-03,HOSE:VIX,5900.0,6000.0,5900.0,6000.0,50712.0
2017-03-06,HOSE:VIX,5900.0,6000.0,5900.0,5900.0,95152.0
2017-03-07,HOSE:VIX,5900.0,6000.0,5900.0,5900.0,54579.0
2017-03-08,HOSE:VIX,5900.0,6000.0,5900.0,5900.0,68276.0
2017-03-09,HOSE:VIX,5900.0,6000.0,5900.0,5900.0,128320.0
2017-03-10,HOSE:VIX,5900.0,5900.0,5900.0,5900.0,62010.0
2017-03-13,HOSE:VIX,5900.0,6000.0,5800.0,6000.0,144510.0
2017-03-14,HOSE:VIX,6000.0,6000.0,5800.0,5900.0,140336.0
2017-03-15,HOSE:VIX,6000.0,6100.0,5900.0,5900.0,49110.0
2017-03-16,HOSE:VIX,5900.0,6200.0,5900.0,6100.0,276582.0
2017-03-17,HOSE:VIX,6200.0,6400.0,6200.0,6200.0,862168.0
2017-03-20,HOSE:VIX,6300.0,6700.0,6300.0,6700.0,1585705.0
2017-03-21,HOSE:VIX,6700.0,6700.0,6500.0,6600.0,579820.0
2017-03-22,HOSE:VIX,6500.0,6600.0,6400.0,6500.0,538540.0
2017-03-23,HOSE:VIX,6500.0,6500.0,6300.0,6400.0,472620.0
2017-03-24,HOSE:VIX,6400.0,6600.0,6400.0,6500.0,329100.0
2017-03-27,HOSE:VIX,6500.0,6700.0,6400.0,6500.0,637265.0
2017-03-28,HOSE:VIX,6500.0,6700.0,6400.0,6600.0,596436.0
2017-03-29,HOSE:VIX,6600.0,6700.0,6500.0,6600.0,368267.0
2017-03-30,HOSE:VIX,6600.0,6700.0,6400.0,6600.0,508381.0
2017-03-31,HOSE:VIX,6500.0,6500.0,6300.0,6300.0,236639.0
2017-04-03,HOSE:VIX,6300.0,6300.0,6100.0,6200.0,239294.0
2017-04-04,HOSE:VIX,6100.0,6200.0,6000.0,6000.0,350186.0
2017-04-05,HOSE:VIX,6100.0,6200.0,6100.0,6100.0,248001.0
2017-04-07,HOSE:VIX,6100.0,6100.0,6000.0,6000.0,268400.0
2017-04-10,HOSE:VIX,6000.0,6200.0,6000.0,6200.0,422139.0
2017-04-11,HOSE:VIX,6200.0,6200.0,6000.0,6000.0,880027.0
2017-04-12,HOSE:VIX,6000.0,6100.0,6000.0,6000.0,312200.0
2017-04-13,HOSE:VIX,5900.0,6000.0,5800.0,5800.0,522475.0
2017-04-14,HOSE:VIX,5800.0,5800.0,5600.0,5600.0,1529328.0
2017-04-17,HOSE:VIX,5700.0,5800.0,5600.0,5600.0,525399.0
2017-04-18,HOSE:VIX,5700.0,5900.0,5600.0,5900.0,565289.0
2017-04-19,HOSE:VIX,5900.0,5900.0,5700.0,5700.0,285000.0
2017-04-20,HOSE:VIX,5800.0,5800.0,5700.0,5700.0,637245.0
2017-04-21,HOSE:VIX,5800.0,6100.0,5800.0,6000.0,1114299.0
2017-04-24,HOSE:VIX,6000.0,6400.0,5900.0,6200.0,1212109.0
2017-04-25,HOSE:VIX,6200.0,6400.0,6100.0,6200.0,750921.0
2017-04-26,HOSE:VIX,6200.0,6400.0,6100.0,6300.0,1580445.0
2017-04-27,HOSE:VIX,6200.0,6400.0,6200.0,6400.0,740571.0
2017-04-28,HOSE:VIX,6300.0,6300.0,6200.0,6300.0,390641.0
2017-05-03,HOSE:VIX,6200.0,6800.0,6000.0,6800.0,1763567.0
2017-05-04,HOSE:VIX,6900.0,7100.0,6600.0,6800.0,1691751.0
2017-05-05,HOSE:VIX,6800.0,7000.0,6700.0,6800.0,927863.0
2017-05-08,HOSE:VIX,6800.0,7000.0,6600.0,6800.0,985261.0
2017-05-09,HOSE:VIX,6800.0,7100.0,6600.0,7100.0,2567515.0
2017-05-10,HOSE:VIX,7200.0,7200.0,6800.0,6900.0,825823.0
2017-05-11,HOSE:VIX,6800.0,7200.0,6800.0,7000.0,2006912.0
2017-05-12,HOSE:VIX,7100.0,7100.0,6800.0,7000.0,503480.0
2017-05-15,HOSE:VIX,6300.0,7100.0,6300.0,7100.0,898917.0
2017-05-16,HOSE:VIX,7100.0,7500.0,7100.0,7200.0,2735354.0
2017-05-17,HOSE:VIX,7200.0,7400.0,7000.0,7300.0,1421112.0
2017-05-18,HOSE:VIX,7300.0,7400.0,7100.0,7100.0,795749.0
2017-05-19,HOSE:VIX,7000.0,7300.0,6900.0,7000.0,1926290.0
2017-05-22,HOSE:VIX,7200.0,7200.0,6800.0,6800.0,928730.0
2017-05-23,HOSE:VIX,6800.0,7000.0,6500.0,6500.0,618929.0
2017-05-24,HOSE:VIX,6500.0,6800.0,6400.0,6600.0,3510400.0
2017-05-25,HOSE:VIX,6600.0,7000.0,6600.0,6900.0,641123.0
2017-05-26,HOSE:VIX,6900.0,7000.0,6700.0,6700.0,421465.0
2017-05-29,HOSE:VIX,6800.0,6800.0,6500.0,6500.0,608000.0
2017-05-30,HOSE:VIX,6500.0,6700.0,6300.0,6300.0,603120.0
2017-05-31,HOSE:VIX,6400.0,6500.0,6300.0,6300.0,615451.0
2017-06-01,HOSE:VIX,6400.0,6500.0,6400.0,6400.0,331041.0
2017-06-02,HOSE:VIX,6400.0,6900.0,6300.0,6800.0,1148321.0
2017-06-05,HOSE:VIX,6800.0,7000.0,6700.0,6700.0,407800.0
2017-06-06,HOSE:VIX,6700.0,7100.0,6700.0,7000.0,1117607.0
2017-06-07,HOSE:VIX,7000.0,7200.0,6900.0,6900.0,1699689.0
2017-06-08,HOSE:VIX,6700.0,6900.0,6600.0,6800.0,329504.0
2017-06-09,HOSE:VIX,6800.0,6900.0,6700.0,6800.0,529610.0
2017-06-12,HOSE:VIX,6800.0,6900.0,6600.0,6800.0,324943.0
2017-06-13,HOSE:VIX,6700.0,7200.0,6600.0,7200.0,635950.0
2017-06-14,HOSE:VIX,7100.0,7300.0,7000.0,7100.0,944705.0
2017-06-15,HOSE:VIX,7000.0,7100.0,6800.0,7000.0,239720.0
2017-06-16,HOSE:VIX,6800.0,7000.0,6800.0,7000.0,227932.0
2017-06-19,HOSE:VIX,6800.0,6900.0,6800.0,6800.0,205220.0
2017-06-20,HOSE:VIX,6900.0,7300.0,6900.0,7100.0,1489922.0
2017-06-21,HOSE:VIX,7400.0,7400.0,7000.0,7200.0,380089.0
2017-06-22,HOSE:VIX,7100.0,7100.0,6900.0,7000.0,527120.0
2017-06-23,HOSE:VIX,6800.0,7100.0,6700.0,7100.0,413210.0
2017-06-26,HOSE:VIX,7100.0,7100.0,6900.0,7000.0,129248.0
2017-06-27,HOSE:VIX,7000.0,7000.0,6800.0,6900.0,248955.0
2017-06-28,HOSE:VIX,6900.0,7000.0,6800.0,6900.0,391715.0
2017-06-29,HOSE:VIX,6900.0,7200.0,6800.0,7200.0,1288685.0
2017-06-30,HOSE:VIX,7200.0,7400.0,7100.0,7100.0,1006527.0
2017-07-03,HOSE:VIX,7100.0,7500.0,7000.0,7500.0,2346530.0
2017-07-04,HOSE:VIX,7600.0,7600.0,7400.0,7600.0,461088.0
2017-07-05,HOSE:VIX,7600.0,8000.0,7600.0,8000.0,3107890.0
2017-07-06,HOSE:VIX,8000.0,8100.0,7900.0,8000.0,1016004.0
2017-07-07,HOSE:VIX,8100.0,8200.0,7600.0,7600.0,2255670.0
2017-07-10,HOSE:VIX,7700.0,7700.0,7300.0,7300.0,1290235.0
2017-07-11,HOSE:VIX,7200.0,7300.0,7100.0,7300.0,383134.0
2017-07-12,HOSE:VIX,7300.0,7500.0,7000.0,7000.0,740081.0
2017-07-13,HOSE:VIX,7200.0,7200.0,7000.0,7100.0,241414.0
2017-07-14,HOSE:VIX,7200.0,7200.0,7000.0,7100.0,255279.0
2017-07-17,HOSE:VIX,7000.0,7100.0,6800.0,6800.0,617068.0
2017-07-18,HOSE:VIX,6800.0,6900.0,6700.0,6900.0,386900.0
2017-07-19,HOSE:VIX,7000.0,7100.0,6800.0,6800.0,132200.0
2017-07-20,HOSE:VIX,6800.0,6900.0,6700.0,6800.0,226600.0
2017-07-21,HOSE:VIX,6900.0,7000.0,6800.0,6800.0,2117357.0
2017-07-24,HOSE:VIX,6700.0,6800.0,6600.0,6700.0,140262.0
2017-07-25,HOSE:VIX,6900.0,6900.0,6700.0,6900.0,138900.0
2017-07-26,HOSE:VIX,6900.0,7200.0,6700.0,7000.0,803900.0
2017-07-27,HOSE:VIX,7000.0,7100.0,7000.0,7000.0,300976.0
2017-07-28,HOSE:VIX,7000.0,7200.0,7000.0,7100.0,195063.0
2017-07-31,HOSE:VIX,7200.0,7200.0,7000.0,7100.0,300660.0
2017-08-01,HOSE:VIX,7000.0,7300.0,7000.0,7100.0,947270.0
2017-08-02,HOSE:VIX,7100.0,7300.0,7000.0,7200.0,357961.0
2017-08-03,HOSE:VIX,7200.0,7800.0,7100.0,7800.0,1866200.0
2017-08-04,HOSE:VIX,7800.0,8000.0,7600.0,8000.0,1572999.0
2017-08-07,HOSE:VIX,8100.0,8300.0,7800.0,8000.0,1882049.0
2017-08-08,HOSE:VIX,8000.0,8300.0,7800.0,7800.0,1854859.0
2017-08-09,HOSE:VIX,7800.0,7800.0,7300.0,7600.0,522810.0
