date,symbol,open,high,low,close,volume
2017-11-06,HOSE:VRE,40550.0,40550.0,40550.0,40550.0,800.0
2017-11-07,HOSE:VRE,40550.0,40550.0,40550.0,40550.0,414939570.0
2017-11-08,HOSE:VRE,40550.0,40550.0,40550.0,40550.0,414939570.0
2017-11-09,HOSE:VRE,40550.0,40550.0,40550.0,40550.0,414939570.0
2017-11-10,HOSE:VRE,43350.0,43350.0,43350.0,43350.0,2136030.0
2017-11-13,HOSE:VRE,46350.0,46350.0,46350.0,46350.0,2487202.0
2017-11-14,HOSE:VRE,49550.0,49550.0,46350.0,47000.0,18139500.0
2017-11-15,HOSE:VRE,46350.0,47000.0,43800.0,44500.0,6570260.0
2017-11-16,HOSE:VRE,44500.0,44500.0,42750.0,44000.0,6071490.0
2017-11-17,HOSE:VRE,44000.0,45500.0,43300.0,44600.0,10802390.0
2017-11-20,HOSE:VRE,45600.0,47700.0,45000.0,47700.0,3706680.0
2017-11-21,HOSE:VRE,49900.0,51000.0,49000.0,51000.0,8512730.0
2017-11-22,HOSE:VRE,51500.0,54000.0,50400.0,51600.0,7905670.0
2017-11-23,HOSE:VRE,51600.0,52800.0,50500.0,52000.0,2766540.0
2017-11-24,HOSE:VRE,51500.0,52100.0,50500.0,50600.0,2404820.0
2017-11-27,HOSE:VRE,50600.0,52000.0,49000.0,51100.0,3472040.0
2017-11-28,HOSE:VRE,51900.0,51900.0,49500.0,49800.0,3229900.0
2017-11-29,HOSE:VRE,49500.0,50200.0,48850.0,49400.0,2233900.0
2017-11-30,HOSE:VRE,49000.0,49000.0,47850.0,49000.0,3873960.0
2017-12-01,HOSE:VRE,49200.0,49900.0,48500.0,49500.0,1408140.0
2017-12-04,HOSE:VRE,49900.0,50000.0,48850.0,49500.0,2104010.0
2017-12-05,HOSE:VRE,50000.0,50000.0,47900.0,48000.0,2480030.0
2017-12-06,HOSE:VRE,48400.0,48500.0,46700.0,47100.0,2334150.0
2017-12-07,HOSE:VRE,47700.0,47900.0,46000.0,46000.0,1567350.0
2017-12-08,HOSE:VRE,46000.0,47650.0,44400.0,47000.0,2058790.0
2017-12-11,HOSE:VRE,45000.0,46500.0,45000.0,45000.0,980090.0
2017-12-12,HOSE:VRE,45200.0,46100.0,43100.0,46000.0,1635020.0
2017-12-13,HOSE:VRE,46000.0,46100.0,45400.0,45850.0,920020.0
2017-12-14,HOSE:VRE,45700.0,45800.0,44900.0,45200.0,1424710.0
2017-12-15,HOSE:VRE,45100.0,46400.0,45100.0,45900.0,1825240.0
2017-12-18,HOSE:VRE,46600.0,46900.0,45900.0,46300.0,2501120.0
2017-12-19,HOSE:VRE,46650.0,46950.0,45400.0,46300.0,1384770.0
2017-12-20,HOSE:VRE,46000.0,46200.0,45600.0,45800.0,1580200.0
2017-12-21,HOSE:VRE,46000.0,48300.0,45800.0,48200.0,2946650.0
2017-12-22,HOSE:VRE,48200.0,48850.0,47800.0,47800.0,2012890.0
2017-12-25,HOSE:VRE,47800.0,48000.0,47000.0,47000.0,1056580.0
2017-12-26,HOSE:VRE,47150.0,48450.0,46800.0,48000.0,1555640.0
2017-12-27,HOSE:VRE,47800.0,48200.0,47350.0,47450.0,1603520.0
2017-12-28,HOSE:VRE,47700.0,47700.0,46900.0,46900.0,1540680.0
2017-12-29,HOSE:VRE,46800.0,47750.0,46200.0,47150.0,3426090.0
2018-01-02,HOSE:VRE,47100.0,47700.0,47100.0,47350.0,907790.0
2018-01-03,HOSE:VRE,47500.0,48450.0,47400.0,47400.0,1713590.0
2018-01-04,HOSE:VRE,47850.0,48000.0,46900.0,47200.0,1185370.0
2018-01-05,HOSE:VRE,47200.0,47500.0,46950.0,47000.0,1714520.0
2018-01-08,HOSE:VRE,47000.0,47150.0,46200.0,46400.0,2208070.0
2018-01-09,HOSE:VRE,46500.0,47300.0,46400.0,47000.0,1945080.0
2018-01-10,HOSE:VRE,47000.0,50200.0,47000.0,49800.0,3068830.0
2018-01-11,HOSE:VRE,49700.0,52200.0,49000.0,51900.0,2786340.0
2018-01-12,HOSE:VRE,52200.0,55500.0,52100.0,55000.0,4607910.0
2018-01-15,HOSE:VRE,55000.0,55600.0,53700.0,54600.0,3854160.0
2018-01-16,HOSE:VRE,54900.0,54900.0,53800.0,53900.0,2440360.0
2018-01-17,HOSE:VRE,54300.0,57300.0,54000.0,55000.0,3539330.0
2018-01-18,HOSE:VRE,54600.0,58800.0,54500.0,57500.0,4617350.0
2018-01-19,HOSE:VRE,58700.0,61500.0,58500.0,61000.0,3826360.0
2018-01-22,HOSE:VRE,60100.0,61000.0,58500.0,59500.0,6289050.0
2018-01-25,HOSE:VRE,59000.0,61400.0,56000.0,56000.0,7222180.0
2018-01-26,HOSE:VRE,57000.0,58500.0,55000.0,55000.0,6619400.0
2018-01-29,HOSE:VRE,56900.0,57900.0,54900.0,55000.0,4390910.0
2018-01-30,HOSE:VRE,55000.0,56300.0,54500.0,55200.0,2951010.0
2018-01-31,HOSE:VRE,55900.0,58700.0,55400.0,55400.0,6374060.0
2018-02-01,HOSE:VRE,55500.0,55500.0,53000.0,55000.0,4035340.0
2018-02-02,HOSE:VRE,54900.0,55100.0,54400.0,55100.0,1498380.0
2018-02-05,HOSE:VRE,54000.0,54500.0,51300.0,51300.0,3420830.0
2018-02-06,HOSE:VRE,47750.0,51000.0,47750.0,47750.0,103571240.0
2018-02-07,HOSE:VRE,50400.0,51000.0,49100.0,51000.0,97712830.0
2018-02-08,HOSE:VRE,50000.0,51500.0,49000.0,49000.0,1664120.0
2018-02-09,HOSE:VRE,45800.0,47750.0,45600.0,47750.0,13815790.0
2018-02-12,HOSE:VRE,47900.0,48450.0,45500.0,47750.0,3845820.0
2018-02-13,HOSE:VRE,47900.0,48200.0,47700.0,48050.0,6765980.0
2018-02-21,HOSE:VRE,50000.0,50000.0,48700.0,49500.0,3674820.0
2018-02-22,HOSE:VRE,49000.0,49900.0,49000.0,49900.0,4322430.0
2018-02-23,HOSE:VRE,50000.0,51600.0,49800.0,51600.0,4430070.0
2018-02-26,HOSE:VRE,54000.0,55200.0,52700.0,55000.0,6377610.0
2018-02-27,HOSE:VRE,55200.0,56800.0,53800.0,54900.0,5097420.0
2018-02-28,HOSE:VRE,54000.0,55900.0,53800.0,53800.0,5592210.0
2018-03-01,HOSE:VRE,54500.0,55500.0,54000.0,55400.0,3337010.0
2018-03-02,HOSE:VRE,54400.0,55500.0,54400.0,55200.0,3185200.0
2018-03-05,HOSE:VRE,55900.0,56400.0,51400.0,51400.0,4715530.0
2018-03-06,HOSE:VRE,52900.0,54900.0,52100.0,54900.0,3878780.0
2018-03-07,HOSE:VRE,55500.0,56100.0,54000.0,54600.0,3347760.0
2018-03-08,HOSE:VRE,55000.0,56000.0,54500.0,55700.0,3086890.0
2018-03-09,HOSE:VRE,56200.0,57000.0,55000.0,55700.0,4150630.0
2018-03-12,HOSE:VRE,57500.0,57600.0,55800.0,55800.0,8799900.0
2018-03-13,HOSE:VRE,56000.0,56000.0,54900.0,55800.0,10342500.0
2018-03-14,HOSE:VRE,55900.0,56200.0,53300.0,53500.0,6011760.0
2018-03-15,HOSE:VRE,53200.0,54500.0,51500.0,53000.0,7612000.0
2018-03-16,HOSE:VRE,53000.0,54100.0,52200.0,52200.0,18641390.0
2018-03-19,HOSE:VRE,52200.0,53600.0,52200.0,53000.0,1745990.0
2018-03-20,HOSE:VRE,53000.0,53300.0,52500.0,52800.0,1310830.0
2018-03-21,HOSE:VRE,52800.0,52900.0,50700.0,51500.0,4016320.0
2018-03-22,HOSE:VRE,51500.0,52500.0,51500.0,51800.0,2254910.0
2018-03-23,HOSE:VRE,50200.0,50800.0,49200.0,49900.0,2671210.0
2018-03-26,HOSE:VRE,49500.0,50000.0,48500.0,48600.0,2549520.0
2018-03-27,HOSE:VRE,50000.0,50900.0,49500.0,50300.0,1775420.0
2018-03-28,HOSE:VRE,50700.0,51500.0,50300.0,50800.0,1398700.0
2018-03-29,HOSE:VRE,51400.0,51400.0,49600.0,51000.0,3154240.0
2018-03-30,HOSE:VRE,50800.0,51400.0,50300.0,51200.0,4682610.0
2018-04-02,HOSE:VRE,51200.0,51400.0,49850.0,49900.0,2306810.0
2018-04-03,HOSE:VRE,50000.0,50400.0,48900.0,49900.0,2238180.0
2018-04-04,HOSE:VRE,50000.0,50300.0,49300.0,49500.0,5262560.0
