,ticker,quarter,low_estimate_price,high_estimate_price,low_estimate_PB,high_estimate_PB,bvps
0,VCB,Q4/2016,,,,,
1,VCB,Q1/2017,,,,,
2,VCB,Q2/2017,,,,,
3,VCB,Q3/2017,,,,,
4,VCB,Q4/2017,,,,,
5,VCB,Q1/2018,,,,,
6,VCB,Q2/2018,,,,,
7,VCB,Q3/2018,,,,,
8,VCB,Q4/2018,44402.3,78547.94,3.42,6.05,12983.13
9,VCB,Q1/2019,46120.24,81586.97,3.42,6.05,13485.45
10,VCB,Q2/2019,52695.87,93219.31,3.42,6.05,15408.15
11,VCB,Q3/2019,55154.03,105631.26,3.42,6.55,16126.91
12,VCB,Q4/2019,61853.51,112539.02,3.6,6.55,17181.53
13,VCB,Q1/2020,65169.65,109521.21,3.6,6.05,18102.68
14,VCB,Q2/2020,56745.26,108642.03,3.16,6.05,17957.36
15,VCB,Q3/2020,59750.99,114396.67,3.16,6.05,18908.54
16,VCB,Q4/2020,62416.95,119500.81,3.16,6.05,19752.2
17,VCB,Q1/2021,65953.72,113123.15,3.16,5.42,20871.43
18,VCB,Q2/2021,67384.88,117497.06,3.16,5.51,21324.33
19,VCB,Q3/2021,70007.24,120075.71,3.16,5.42,22154.19
20,VCB,Q4/2021,73067.38,125324.44,3.16,5.42,23122.59
21,VCB,Q1/2022,74172.78,116657.83,3.16,4.97,23472.4
22,VCB,Q2/2022,72922.41,122855.72,2.95,4.97,24719.46
23,VCB,Q3/2022,74786.57,85173.6,2.88,3.28,25967.56
24,VCB,Q4/2022,64787.26,89726.29,2.39,3.31,27107.64
25,VCB,Q1/2023,77217.93,144820.03,2.65,4.97,29138.84
26,VIC,Q4/2016,,,,,
27,VIC,Q1/2017,,,,,
28,VIC,Q2/2017,,,,,
29,VIC,Q3/2017,,,,,
30,VIC,Q4/2017,,,,,
31,VIC,Q1/2018,,,,,
32,VIC,Q2/2018,,,,,
33,VIC,Q3/2018,,,,,
34,VIC,Q4/2018,87976.66,132479.48,3.42,5.15,25724.17
35,VIC,Q1/2019,90905.22,133760.54,3.5,5.15,25972.92
36,VIC,Q2/2019,95019.97,138235.27,3.54,5.15,26841.8
37,VIC,Q3/2019,124105.46,221404.15,3.75,6.69,33094.79
38,VIC,Q4/2019,112454.94,132841.5,3.42,4.04,32881.56
39,VIC,Q1/2020,108143.92,127748.96,3.42,4.04,31621.03
40,VIC,Q2/2020,72359.35,116223.2,2.26,3.63,32017.41
41,VIC,Q3/2020,73298.51,117731.68,2.26,3.63,32432.97
42,VIC,Q4/2020,73804.77,118544.84,2.26,3.63,32656.98
43,VIC,Q1/2021,80444.68,129209.81,2.26,3.63,35594.99
44,VIC,Q2/2021,104081.31,148425.82,2.84,4.05,36648.35
45,VIC,Q3/2021,85558.83,153324.45,2.26,4.05,37857.89
46,VIC,Q4/2021,97356.51,156373.5,2.26,3.63,43078.1
47,VIC,Q1/2022,77196.17,91383.58,1.85,2.19,41727.66
48,VIC,Q2/2022,76911.99,87849.02,2.18,2.49,35280.73
49,VIC,Q3/2022,62664.7,78936.75,1.81,2.28,34621.38
