,ticker,quarter,low_estimate_price,high_estimate_price,low_estimate_PE,high_estimate_PE,eps
0,VCB,Q4/2016,,,,,
1,VCB,Q1/2017,,,,,
2,VCB,Q2/2017,,,,,
3,VCB,Q3/2017,,,,,
4,VCB,Q4/2017,,,,,
5,VCB,Q1/2018,,,,,
6,VCB,Q2/2018,,,,,
7,VCB,Q3/2018,,,,,
8,VCB,Q4/2018,53171.99,72249.55,20.82,28.29,2553.89
9,VCB,Q1/2019,63825.3,87523.88,20.63,28.29,3093.81
10,VCB,Q2/2019,62843.65,75499.43,18.77,22.55,3348.09
11,VCB,Q3/2019,70978.16,146702.81,19.44,40.18,3651.14
12,VCB,Q4/2019,79660.65,164648.4,19.44,40.18,4097.77
13,VCB,Q1/2020,76050.64,110672.46,19.44,28.29,3912.07
14,VCB,Q2/2020,55558.92,87404.6,14.62,23.0,3800.2
15,VCB,Q3/2020,56329.4,93201.65,14.62,24.19,3852.9
16,VCB,Q4/2020,70556.7,102677.42,19.44,28.29,3629.46
17,VCB,Q1/2021,83123.06,114898.52,21.32,29.47,3898.83
18,VCB,Q2/2021,95397.62,131865.28,21.32,29.47,4474.56
19,VCB,Q3/2021,63409.28,118404.47,14.62,27.3,4337.16
20,VCB,Q4/2021,65272.89,116125.03,14.62,26.01,4464.63
21,VCB,Q1/2022,67679.78,111009.65,14.62,23.98,4629.26
22,VCB,Q2/2022,70953.2,111622.68,14.62,23.0,4853.16
23,VCB,Q3/2022,77060.27,121230.24,14.62,23.0,5270.88
24,VCB,Q4/2022,65640.2,91036.71,11.76,16.31,5581.65
25,VCB,Q1/2023,74280.39,145276.28,11.76,23.0,6316.36
26,VIC,Q4/2016,,,,,
27,VIC,Q1/2017,,,,,
28,VIC,Q2/2017,,,,,
29,VIC,Q3/2017,,,,,
30,VIC,Q4/2017,,,,,
31,VIC,Q1/2018,,,,,
32,VIC,Q2/2018,,,,,
33,VIC,Q3/2018,,,,,
34,VIC,Q4/2018,70758.46,130372.67,70.16,129.27,1008.53
35,VIC,Q1/2019,61552.07,113409.86,70.16,129.27,877.31
36,VIC,Q2/2019,85377.07,155174.05,93.98,170.81,908.46
37,VIC,Q3/2019,143377.2,208374.54,117.53,170.81,1219.92
38,VIC,Q4/2019,83453.22,153762.79,70.16,129.27,1189.47
39,VIC,Q1/2020,233022.59,271790.81,118.41,138.11,1967.93
40,VIC,Q2/2020,65745.06,105579.58,36.31,58.31,1810.66
41,VIC,Q3/2020,72251.82,116028.74,36.31,58.31,1989.86
42,VIC,Q4/2020,82176.07,131966.03,36.31,58.31,2263.18
43,VIC,Q1/2021,48810.81,78384.97,36.31,58.31,1344.28
44,VIC,Q2/2021,133520.02,210381.17,75.08,118.3,1778.37
45,VIC,Q3/2021,92981.06,121887.6,57.32,75.14,1622.14
46,VIC,Q4/2021,59396.84,84624.17,52.74,75.14,1126.22
47,VIC,Q1/2022,91326.63,77105.89,-125.68,-106.11,-726.66
48,VIC,Q2/2022,80624.62,66403.07,-127.5,-105.01,-632.35
49,VIC,Q3/2022,15687.6,12472.56,-127.5,-101.37,-123.04
