ticker,name,DOB,initial_volume,initial_price,current_volume,market_capital,exchange,category
VCB,Ngân hàng TMCP Ngoại thương Việt Nam                        ,30/06/2009,112285426,50.0,4732516571,406996.4,HOSE,Banks
VIC,Tập đoàn VINGROUP - CTCP                        ,19/09/2007,80000000,125.0,3813935561,242566.3,HOSE,Res/Com_Real_Estate
VHM,CTCP Vinhomes                        ,17/05/2018,2679611550,92.5,4354367488,260826.6,HOSE,Res/Com_Real_Estate
GAS,Tổng Công ty Khí Việt Nam - CTCP                        ,21/05/2012,1895000000,36.0,1913950000,227568.7,HOSE,Energy
HPG,CTCP Tập đoàn Hòa Phát                        ,15/11/2007,132000000,110.0,5814785700,134030.8,HOSE,Materials
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng                        ,17/08/2017,1332689035,39.0,4505692987,141253.5,HOSE,Banks
NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va                        ,28/12/2016,589369234,50.0,1949833809,160276.3,HOSE,Res/Com_Real_Estate
VNM,CTCP Sữa Việt Nam                        ,19/01/2006,159000000,53.0,2089955445,158836.6,HOSE,Food_Beverage_and_Agriculture
TCB,Ngân hàng TMCP Kỹ thương Việt Nam                        ,04/06/2018,1165530720,128.0,3510914798,136047.9,HOSE,Banks
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam                        ,24/01/2014,2811202644,18.7,5058523816,201329.2,HOSE,Banks
MSN,CTCP Tập đoàn Masan                        ,05/11/2009,476399820,36.0,1423724783,161877.5,HOSE,Food_Beverage_and_Agriculture
CTG,Ngân hàng TMCP Công Thương Việt Nam                        ,16/07/2009,121211780,50.0,4805750609,136483.3,HOSE,Banks
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,21/03/2018,99140960,13.0,4000000000,106600.0,HOSE,Materials_Industry
MBB,Ngân hàng TMCP Quân Đội                        ,01/11/2011,730000000,13.8,3778321777,89357.3,HOSE,Banks
VGI,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel,25/09/2018,2243811200,15.0,3043811200,98010.7,UPCOM,Information_Technology
MWG,CTCP Đầu tư Thế giới Di động                        ,14/07/2014,62723171,68.0,1463467713,107289.9,HOSE,Retails_and_Desci
SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn                        ,06/12/2016,641281186,110.0,641281186,120496.7,HOSE,Food_Beverage_and_Agriculture
FPT,CTCP FPT                        ,13/12/2006,60810230,400.0,1097026572,94783.1,HOSE,Information_Technology
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,26/02/2018,1035000000,22.9,1035000000,94081.5,HOSE,Industry_Real_Estate
ACB,Ngân hàng TMCP Á Châu                        ,21/11/2006,110004656,130.2,3377435094,82916.0,HOSE,Banks
VRE,CTCP Vincom Retail                        ,06/11/2017,1901078733,40.6,2328818410,66138.4,HOSE,Res/Com_Real_Estate
VJC,CTCP Hàng không Vietjet                        ,28/02/2017,300000000,90.0,541611334,66293.2,HOSE,Aviations
BSR,CTCP Lọc hóa Dầu Bình Sơn                        ,01/03/2018,3100499616,22.4,3100499616,80923.0,UPCOM,Energy
VIB,Ngân hàng TMCP Quốc tế Việt Nam                        ,09/01/2017,564442500,17.0,2107672945,52691.8,HOSE,Banks
PLX,Tập đoàn Xăng Dầu Việt Nam                        ,21/04/2017,1293878081,43.2,1293878081,54666.3,HOSE,Energy
TPB,Ngân hàng TMCP Tiên Phong                        ,19/04/2018,555000000,32.0,1581755495,44131.0,HOSE,Banks
STB,Ngân hàng TMCP Sài Gòn Thương Tín                        ,12/07/2006,189947299,78.0,1885215716,46470.6,HOSE,Banks
HDB,Ngân hàng TMCP Phát triển TPHCM                        ,05/01/2018,980999979,33.0,2007290642,52791.7,HOSE,Banks
HVN,Tổng Công ty Hàng không Việt Nam - CTCP                        ,03/01/2017,1227533778,28.0,2214394174,37866.1,HOSE,Aviations
BVH,Tập đoàn Bảo Việt                        ,26/06/2009,573026605,46.2,742322764,42609.3,HOSE,Insurance
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội                        ,20/04/2009,50000000,14.4,2672441924,41155.6,HOSE,Banks
THD,CTCP Thaiholdings,19/06/2020,53900000,15.0,350000000,19670.0,HNX,Res/Com_Real_Estate
