,nam,quy,bien_loi_nhuan_rong,bvps,chi_phi_huy_dong_von,cir,cof,du_no_cho_vay_tren_tien_gui,du_no_cho_vay_tren_tts_co,du_phong_rui_ro_tin_dung_tren_thu_nhap_hoat_dong,eps,ldr,loi_nhuan_sau_thue_tren_thu_nhap_hoat_dong,nim,ocfps,phat_hanh_giay_to_co_gia_tren_tts,roaa,roea,tai_san_sinh_lai_tren_tong_tai_san_co,tang_truong_chi_phi_hdkd,tang_truong_du_no_cho_vay,tang_truong_du_phong_rui_ro_tin_dung,tang_truong_hdkd_truoc_chi_phi_du_phong_rui_ro,tang_truong_huy_dong_von_khach_hang,tang_truong_lnst,tang_truong_lntt,tang_truong_thu_nhap_lai_thuan,tang_truong_thu_phi_dich_vu_thuan,tang_truong_tong_tai_san,tang_truong_von_chu_so_huu,tang_truong_von_dieu_le,tien_gui_khach_hang_tren_tts,tong_von_huy_dong_tren_tts,vcsh_tren_tong_von_huy_dong,vcsh_tren_tts_co,yoea,beta,foreignOwnership,freeFloat,freeShares,insiderOwnership,institutionOwnership,sharesOutstanding,bat_dong_san_dau_tu,cac_khoan_no_nhnn,cac_khoan_phai_thu,cac_khoan_phai_tra,chi_phi_du_phong_rui_ro,chi_phi_hoat_dong,chi_phi_hoat_dong_dich_vu,chi_phi_lai,cho_vay_khach_hang,cho_vay_khach_hang_truoc_du_phong_rui_ro,cho_vay_tctd_khac,chung_khoan_dau_tu,chung_khoan_dau_tu_giu_den_ngay_dao_han,chung_khoan_dau_tu_san_sang_de_ban,chung_khoan_dau_tu_truoc_du_phong_rui_ro,chung_khoan_kinh_doanh,cong_cu_tai_chinh_phai_sinh,cong_cu_tai_chinh_phai_sinh_va_no_tai_chinh,du_no_cho_vay,du_no_cho_vay_khach_hang,du_phong_giam_gia_chung_khoan_dau_tu,du_phong_rui_ro_cho_vay_cac_tctd_khac,du_phong_rui_ro_cho_vay_khach_hang,du_phong_rui_ro_cho_vay_tctd_khac,gop_von_dau_tu_dai_han,lai_lo_hoat_dong_dich_vu,lai_lo_kinh_doanh_ngoai_hoi,lai_lo_mua_ban_ck_dau_tu,lai_lo_mua_ban_ck_kinh_doanh,lai_thuan_hoat_dong_khac,loi_nhuan_hoat_dong_tai_chinh,loi_nhuan_sau_thue,loi_nhuan_truoc_thue,loi_nhuan_tu_hdkd_truoc_du_phong_rui_ro,luu_chuyen_tien_thuan_tu_hoat_dong_kinh_doanh,nguon_huy_dong_co_tinh_lai,phat_hanh_giay_to_co_gia,tai_san_co_dinh,tai_san_co_dinh_huu_hinh,tai_san_co_dinh_vo_hinh,tai_san_co_khac,tai_san_sinh_lai,thu_nhap_hoat_dong,thu_nhap_khac,thu_nhap_lai_thuan,thu_nhap_tu_gop_von_mua_co_phan,thu_nhap_tu_hoat_dong_dich_vu,thu_nhap_tu_lai,thu_nhap_tu_lai_va_hoat_dong_dich_vu,thue_thu_nhap_doanh_nghiep,tien_gui_khach_hang,tien_gui_tai_nhnn,tien_gui_va_vay_tctd_khac,tien_mat_vang_bac_da_quy,tien_va_tuong_duong_tien,tien_vang_gui_cho_vay_tai_tctd_khac,tien_vang_gui_cho_vay_tai_tctd_khac_truoc_rui_ro,tien_vang_gui_tai_tctd_khac,tong_doanh_thu,tong_no,tong_no_va_vcsh,tong_tai_san,tong_von_huy_dong,vay_tctd_khac,von_chu_so_huu,von_dieu_le,von_tai_tro_uy_thac_dau_tu_ngan_hang_chiu_rui_ro,ticker,quarter,year
0,2011.0,2.0,11.44,5822.53,1.89,38.14,1.75,108.46,55.66,31.18,952.75,77.29,51.82,0.8,10912.82,0.74,0.29,3.65,97.0,-74.29,-83.27,-64.64,-86.5,-85.79,-90.07,-89.45,-81.86,-80.86,-81.03,-80.02,-62.84,51.32,72.02,11.12,8.01,2.33,0.82,0.23605674,-0.1561682900000001,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,26706332000000.0,2808108000000.0,10349836000000.0,-593512000000.0,-1173496000000.0,-165036000000.0,-4965530000000.0,185068933000000.0,191589781000000.0,1916023000000.0,30481872000000.0,3780614000000.0,27000550000000.0,30781164000000.0,54085000000.0,54888000000.0,0.0,271580623000000.0,191589781000000.0,-299292000000.0,-14340000000.0,-6520848000000.0,-14340000000.0,4074440000000.0,446130000000.0,224471000000.0,-10698000000.0,-3213000000.0,-317481000000.0,210560000000.0,986326000001.0,1309708000001.0,1903220000000.0,21567674000000.0,274588380000000.0,2548110000000.0,1455020000000.0,1058038000001.0,396982000001.0,6235028000000.0,333869450000000.0,8361681000000.0,97896000000.0,2687089000000.0,50418000000.0,611166000000.0,7652619000000.0,8263785000000.0,-317151999999.0,176650494000000.0,31507663000000.0,68683444000000.0,5298947000000.0,113083823000001.0,79976502000000.0,79990842000000.0,78074819000000.0,8622659000000.0,316652134999999.0,344207378000000.0,344207378000001.0,247882048000000.0,8752962000000.0,27555243000001.0,17587540000000.0,26996360000000.0,VCB,2,2011
1,2011.0,3.0,10.86,6029.16,2.06,37.89,1.86,94.3,56.86,33.23,978.55,74.9,50.08,1.16,6747.13,0.64,0.31,3.77,95.32,24.48,16.2,261.24,46.72,5.86,13.05,13.24,102.52,68.31,28.2,41.74,48.96,60.29,75.91,11.26,8.55,2.71,0.82,0.23605674,-0.1561682900000001,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,25963745000000.0,2486015000000.0,12950569000000.0,-702097000000.0,-1289075000000.0,-194232000000.0,-5158327000000.0,182726892000000.0,189751049000000.0,2143352000000.0,32767383000000.0,3829063000000.0,29237612000000.0,33066675000000.0,54511000000.0,89394000000.0,0.0,265793030000000.0,189751049000000.0,-299292000000.0,-14653000000.0,-7024157000000.0,-14653000000.0,4122755000000.0,315452000000.0,317961000000.0,0.0,-245000000.0,-950675000000.0,317716000000.0,1057984000001.0,1410681000001.0,2112778000000.0,-18550977000000.0,279287035000000.0,2125801000000.0,1689913000000.0,1028360000001.0,661553000001.0,11484537000000.0,318112350000000.0,9385416000000.0,33085000000.0,3684320000000.0,35040000000.0,509684000000.0,8842647000000.0,9352331000000.0,-343610999999.0,201216378000000.0,19252645000000.0,49981111000000.0,5519785000000.0,94182520000001.0,76027328000000.0,76041981000000.0,73898629000000.0,9738172000000.0,305202060999999.0,333735143000000.0,333735143000001.0,253323290000000.0,10367818000000.0,28533082000001.0,19698045000000.0,8217706000000.0,VCB,3,2011
2,2011.0,4.0,6.77,6198.65,2.17,41.35,1.94,92.29,57.1,60.63,894.56,75.62,26.19,1.1,4792.06,0.56,0.21,2.56,96.52,48.96,18.44,82.02,18.94,10.84,-34.89,-22.44,58.18,-100.0,19.22,38.27,48.96,61.87,75.51,10.59,8.0,2.87,0.82,0.23605674,-0.1561682900000001,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,38866234000000.0,2652914000000.0,17600645000000.0,-1717386000000.0,-1997297000000.0,-194705000000.0,-5765269000000.0,204145560000000.0,209417633000000.0,33197058000000.0,28879738000000.0,3158515000000.0,26027134000000.0,29185649000000.0,711551000000.0,0.0,11474000000.0,314180578000000.0,209417633000000.0,-305911000000.0,-14546000000.0,-5272073000000.0,-14546000000.0,2623938000000.0,-91931000000.0,238052000000.0,-13982000000.0,234000000.0,-65537000000.0,224304000000.0,741765000001.0,1115270000001.0,2832656000000.0,29388753000000.0,315820904000000.0,2071383000000.0,2605353000000.0,1460830000001.0,1144523000001.0,7006125000000.0,354001847000000.0,9858074000000.0,99495000000.0,3890536000000.0,872581000000.0,102774000000.0,9655805000000.0,9758579000000.0,-374753999999.0,226909438000000.0,10635620000000.0,47962375000000.0,5393766000000.0,124304308000001.0,104748399000000.0,104762945000000.0,71565887000000.0,10954959000000.0,337414843999999.0,366750050000000.0,366750050000001.0,276943196000000.0,25236895000000.0,29335206000001.0,19698045000000.0,0.0,VCB,4,2011
3,2012.0,1.0,13.74,8799.46,1.97,34.57,1.78,92.75,58.01,35.39,872.25,75.41,49.97,0.96,2293.64,0.58,0.37,3.78,96.04,11.75,5.2,137.32,17.01,9.38,-7.29,-8.42,17.6,-30.72,7.95,56.78,31.76,62.55,76.93,15.08,11.6,2.5,0.82,0.23605674,-0.1561682900000001,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,19144308000000.0,5672051000000.0,18408153000000.0,-950388000000.0,-1419011000000.0,-180814000000.0,-5450047000000.0,202259907000000.0,208213917000000.0,41665485000000.0,24896139000000.0,3750700000000.0,21466581000000.0,25217281000000.0,106287000000.0,53846000000.0,0.0,300306372000000.0,208213917000000.0,-321142000000.0,-330205000000.0,-5954010000000.0,-330205000000.0,2856728000000.0,170050000000.0,352777000000.0,0.0,22437000000.0,73737000000.0,375214000000.0,1341868000001.0,1735058000001.0,2685446000000.0,-21550781000000.0,295249066000000.0,2067357000000.0,2595505000000.0,1461625000001.0,1133880000001.0,9823565000000.0,344683111000000.0,9204177000000.0,103254000000.0,3300012000000.0,185444000000.0,350864000000.0,8750059000000.0,9100923000000.0,-388172999999.0,224479126000000.0,19159458000000.0,49558275000000.0,5394441000000.0,114862863000001.0,91762250000000.0,92092455000000.0,50426970000000.0,9764835000000.0,317264524999999.0,358908126000000.0,358908126000001.0,276104758000000.0,30618849000000.0,41643601000001.0,23174171000000.0,0.0,VCB,1,2012
4,2012.0,2.0,10.07,8484.46,1.9,32.0,1.75,88.82,55.02,47.95,855.45,73.79,39.92,0.65,425.29,0.53,0.24,2.22,97.14,-8.91,12.48,83.54,19.37,37.35,-8.06,-9.72,-8.64,9.19,13.79,45.72,31.76,61.95,74.57,13.75,10.25,2.17,0.82,0.23605674,-0.1561682900000001,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,31739654000000.0,2316422000000.0,23413685000000.0,-1089349000000.0,-1068898000000.0,-186940000000.0,-5406284000000.0,208435766000000.0,215508925000000.0,35914782000000.0,44552281000000.0,3314955000000.0,41558468000000.0,44873423000000.0,1349704000000.0,0.0,198941000000.0,322009681000000.0,215508925000000.0,-321142000000.0,-362677000000.0,-7073159000000.0,-362677000000.0,2868783000000.0,487117000000.0,289444000000.0,1551000000.0,9714000000.0,5381000000.0,300709000000.0,906821000001.0,1182465000001.0,2271814000000.0,12725674000000.0,323997011000000.0,2066095000000.0,2537231000000.0,1377431000001.0,1159800000001.0,6557677000000.0,380454733000000.0,8609968000000.0,74831000000.0,2454796000000.0,92709000000.0,674057000000.0,7861080000000.0,8535137000000.0,-272230999999.0,242630412000000.0,13571629000000.0,47361909000000.0,5651786000000.0,125871739000001.0,106138079000000.0,106500756000000.0,70585974000000.0,9003386000000.0,351510100999999.0,391662936000000.0,391662936000001.0,292058416000000.0,27145823000000.0,40152835000001.0,23174171000000.0,0.0,VCB,2,2012
5,2012.0,3.0,12.56,8716.93,1.65,43.8,1.48,86.73,54.55,26.6,865.54,73.35,54.95,0.68,6511.95,0.49,0.27,2.72,97.11,21.66,19.8,-23.76,-4.76,30.26,4.51,4.69,-25.41,4.97,24.87,44.58,17.65,62.89,74.37,13.31,9.9,1.97,0.82,0.23605674,-0.1561682900000001,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,36263778000000.0,2527938000000.0,24670122000000.0,-535298000000.0,-1568258000000.0,-252502000000.0,-4967408000000.0,220710941000000.0,227330497000000.0,29749633000000.0,46841836000000.0,3694524000000.0,43468454000000.0,47162978000000.0,1158019000000.0,0.0,78010000000.0,330421905000000.0,227330497000000.0,-321142000000.0,-346366000000.0,-6619556000000.0,-346366000000.0,2861478000000.0,331131000000.0,325639000000.0,0.0,106305000000.0,56282000000.0,431944000000.0,1105721000001.0,1476912000001.0,2012210000000.0,10254272000000.0,346264905000000.0,2049642000000.0,2497306000000.0,1316973000001.0,1180333000001.0,7280553000000.0,404683327000000.0,8358965000000.0,59762000000.0,2748162000000.0,12949000000.0,583633000000.0,7715570000000.0,8299203000000.0,-368013999999.0,262107261000000.0,27098444000000.0,45766214000000.0,5546898000000.0,136044865000001.0,102745042000000.0,103091408000000.0,73341775000000.0,8803858000000.0,375487516999999.0,416740517000000.0,416740517000001.0,309923117000000.0,25198412000000.0,41253000000001.0,23174171000000.0,0.0,VCB,3,2012
6,2012.0,4.0,11.41,8945.96,1.59,48.95,1.45,84.76,58.16,32.4,931.7,75.22,52.17,0.62,-2724.68,0.49,0.25,2.52,96.83,-2.92,15.16,-61.85,-28.62,25.39,42.21,22.57,-36.47,-100.0,13.07,44.32,17.65,68.61,77.32,13.21,10.21,1.86,0.82,0.23605674,-0.1561682900000001,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,24806433000000.0,1687983000000.0,22650485000000.0,-655103000000.0,-1938936000000.0,-241683000000.0,-5016186000000.0,235959642000000.0,241162675000000.0,5293516000000.0,78450877000000.0,4843173000000.0,73945195000000.0,78788368000000.0,520876000000.0,0.0,5461000000.0,306992274000000.0,241162675000000.0,-337491000000.0,-116873000000.0,-5203033000000.0,-116873000000.0,3020788000000.0,400301000000.0,519892000000.0,-20599000000.0,94539000000.0,389696000000.0,593832000000.0,1054868000001.0,1366941000001.0,2022044000000.0,-14323767000000.0,345420380000000.0,2027567000000.0,3659583000000.0,2304004000001.0,1355579000001.0,5986225000000.0,401512738000000.0,8549050000000.0,419406000000.0,2471474000000.0,105677000000.0,641984000000.0,7487660000000.0,8129644000000.0,-307759999999.0,284514568000000.0,15732096000000.0,34066351000000.0,5627307000000.0,120474174000001.0,65712726000000.0,65829599000000.0,60536083000000.0,9248559000000.0,372333210999999.0,414670120000000.0,414670120000001.0,320608486000000.0,17102493000000.0,42336909000001.0,23174171000000.0,0.0,VCB,4,2012
7,2013.0,1.0,12.85,8976.62,1.46,36.96,1.38,80.32,56.88,35.53,883.22,70.86,48.94,0.64,1721.18,0.48,0.27,2.62,96.75,-6.08,14.87,-15.02,-15.36,32.64,-17.1,-15.55,-21.49,124.95,17.16,2.01,0.0,70.81,80.28,12.59,10.1,1.83,0.82,0.23605674,-0.1561682900000001,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,12654503000000.0,4971411000000.0,23229085000000.0,-807607000000.0,-1332765000000.0,-233497000000.0,-4789856000000.0,233165635000000.0,239174418000000.0,11363331000000.0,79487279000000.0,5650161000000.0,74148142000000.0,79798303000000.0,141737000000.0,0.0,349834000000.0,309646452000000.0,239174418000000.0,-311024000000.0,-120784000000.0,-6008783000000.0,-120784000000.0,3067181000000.0,382519000000.0,476394000000.0,50953000000.0,6479000000.0,18579000000.0,533826000000.0,1112451000001.0,1465291000001.0,2272898000000.0,-510653000000.0,350558490000000.0,2020675000000.0,3519041000000.0,2188043000001.0,1330998000001.0,8337798000000.0,406825967000000.0,8041842000000.0,45104000000.0,2590866000000.0,79873000000.0,616016000000.0,7380722000000.0,7996738000000.0,-348069999999.0,297758690000000.0,17381212000000.0,37774788000000.0,5029253000000.0,117443460000001.0,70351250000000.0,70472034000000.0,59108703000000.0,8655541000000.0,377998363999999.0,420480386000000.0,420480386000001.0,337554153000000.0,15924637000000.0,42482022000001.0,23174171000000.0,0.0,VCB,1,2013
8,2013.0,2.0,10.12,8579.5,1.35,35.71,1.28,77.95,54.44,50.63,874.11,68.02,37.48,0.6,3987.93,0.46,0.2,2.08,97.41,19.77,10.26,7.11,1.45,25.63,-4.76,-3.77,3.98,-20.35,11.44,1.12,0.0,69.84,80.03,11.62,9.3,1.73,0.82,0.23605674,-0.1561682900000001,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,27209948000000.0,2876331000000.0,14236102000000.0,-1166802000000.0,-1280166000000.0,-280824000000.0,-4637657000000.0,231636362000000.0,237612613000000.0,13917659000000.0,60880619000000.0,8318924000000.0,52816513000000.0,61135437000000.0,116353000000.0,0.0,227694000000.0,337762167000000.0,237612613000000.0,-254818000000.0,-119319000000.0,-5976251000000.0,-119319000000.0,3066704000000.0,387997000000.0,378028000000.0,37783000000.0,6961000000.0,127908000000.0,422772000000.0,863694000001.0,1137862000001.0,2304664000000.0,23453100000000.0,376760575000000.0,2020344000000.0,3462996000000.0,2163942000001.0,1299054000001.0,5766271000000.0,425176713000000.0,8021644000000.0,162565000000.0,2552601000000.0,93552000000.0,668821000000.0,7190258000000.0,7859079000000.0,-270642999999.0,304811711000000.0,26279109000000.0,42490878000000.0,5231973000000.0,140904401000001.0,100030235000000.0,100149554000000.0,86231895000000.0,8537968000000.0,395867980999999.0,436470622000000.0,436470622000001.0,349322933000000.0,8332257000000.0,40602641000001.0,23174171000000.0,0.0,VCB,2,2013
9,2013.0,3.0,12.41,8772.15,1.15,39.04,1.07,79.28,57.02,43.54,860.2,69.96,42.29,0.68,-2992.79,0.46,0.24,2.53,97.17,0.41,10.27,100.03,22.22,20.63,-5.95,-5.99,6.02,23.35,5.5,0.63,0.0,71.92,81.5,11.59,9.44,1.64,0.82,0.23605674,-0.1561682900000001,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,24410626000000.0,2537711000000.0,9487725000000.0,-1070764000000.0,-1574764000000.0,-2698999000000.0,-4057026000000.0,243529996000000.0,250687130000000.0,6250202000000.0,73948362000000.0,13908760000000.0,60294420000000.0,74203180000000.0,49248000000.0,0.0,391774000000.0,329954027000000.0,250687130000000.0,-254818000000.0,-85193000000.0,-7157134000000.0,-85193000000.0,3059243000000.0,408452000000.0,420667000000.0,6257000000.0,1646000000.0,279304000000.0,428570000000.0,1039892000001.0,1388474000001.0,2459238000000.0,-22782131000000.0,383140686000000.0,2016411000000.0,3338189000000.0,1925251000001.0,1412938000001.0,7576062000000.0,427236786000000.0,7945288000000.0,296321000000.0,2913590000000.0,4086000000.0,678351000000.0,6970616000000.0,7648967000000.0,-345374999999.0,316188876000000.0,23079579000000.0,40132999000000.0,5894863000000.0,118049438000001.0,79181704000000.0,79266897000000.0,73016695000000.0,8377944000000.0,398142885999999.0,439657246000000.0,439657246000001.0,358338286000000.0,9025500000000.0,41514360000001.0,23174171000000.0,0.0,VCB,3,2013
