,ticker,name,Q4/2016,Q1/2017,Q2/2017,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022,Q3/2022,Q4/2022,Q1/2023
0,VCB,estimate_price_low,38790,39834,33590,34846,33664,35047,39058,47818,50766,52291,63150,61272,67390,74380,66837,68915,69847,69769,79803,90123,83531,83949,84805,80509,79719,76360
1,VCB,estimate_price_high,58185,59750,50385,52269,50496,52570,58586,71727,76149,78436,94725,91908,101085,111570,100255,103373,104770,104654,119705,135184,125296,125923,127206,120763,119579,114539
2,VIC,estimate_price_low,65866,38566,27641,36210,38960,50904,177770,97118,85611,83906,73855,100790,140055,98500,228029,86666,107904,94573,52488,108764,78610,61017,32642,65312,59888,56357
3,VIC,estimate_price_high,98800,57849,41462,54316,58439,76355,266656,145677,128417,125860,110782,151185,210082,147750,342044,129999,161856,141860,78732,163146,117914,91526,48963,97967,89832,84536
4,VHM,estimate_price_low,0,0,0,0,0,0,88400,100131,95219,93598,77845,61746,99808,87396,113618,100355,62287,73743,97741,80851,127076,117507,85222,70856,42327,60134
5,VHM,estimate_price_high,0,0,0,0,0,0,132600,150196,142829,140397,116767,92618,149713,131094,170427,150532,93429,110615,146613,121277,190614,176260,127834,106285,63489,90202
6,GAS,estimate_price_low,35736,34610,68462,55678,52450,58257,66774,74741,90906,93151,77013,84897,81006,82222,80784,68449,53884,53222,49888,60731,74404,81119,87567,109489,135192,103456
7,GAS,estimate_price_high,53604,51915,102693,83517,78674,87385,100161,112111,136359,139726,115519,127345,121510,123332,121175,102672,80825,79834,74831,91096,111606,121679,131350,164234,202788,155183
8,HPG,estimate_price_low,38868,40509,52505,45736,34769,39310,41765,43666,43173,35899,30402,26810,25010,19783,20644,21772,23995,31870,40397,57492,75180,67653,55267,44611,27481,13937
9,HPG,estimate_price_high,58302,60764,78757,68604,52153,58964,62648,65499,64760,53848,45603,40214,37515,29674,30965,32658,35993,47804,60596,86238,112771,101480,82901,66917,41221,20906
10,VPB,estimate_price_low,0,0,0,30891,37066,38497,45077,44132,38366,25328,22781,18198,20070,19758,19287,20808,20951,20984,23246,32535,43070,47589,36179,50368,31083,32751
11,VPB,estimate_price_high,0,0,0,46338,55599,57745,67616,66197,57549,37992,34172,27297,30104,29637,28930,31213,31427,31475,34868,48802,64605,71384,54269,75552,46625,49127
12,NVL,estimate_price_low,48000,62276,36887,53485,31510,73214,82035,57737,61180,62352,124496,63461,56254,44704,58148,51048,62639,97717,49448,79142,85477,55157,80867,83100,61813,51771
13,NVL,estimate_price_high,72000,93413,55329,80228,47265,109821,123052,86606,91770,93527,186745,95192,84380,67056,87222,76571,93959,146575,74172,118712,128215,82736,121301,124651,92719,77658
14,VNM,estimate_price_low,119312,124037,117239,129862,119451,124531,126059,136119,131733,123445,126604,116759,110708,107091,103718,96903,96370,96905,92254,86031,75083,74372,71311,65705,55966,53152
15,VNM,estimate_price_high,178968,186056,175858,194793,179177,186796,189089,204179,197599,185167,189907,175138,166062,160636,155578,145355,144554,145359,138381,129046,112625,111558,106966,98558,83949,79728
16,TCB,estimate_price_low,0,0,0,0,0,0,89197,80148,24848,22581,21950,22296,21318,21407,21473,20285,19301,20147,22649,34779,39902,43494,44153,45486,37819,37943
17,TCB,estimate_price_high,0,0,0,0,0,0,133795,120221,37272,33872,32926,33444,31977,32110,32210,30428,28952,30221,33974,52168,59853,65241,66229,68229,56729,56915
18,BID,estimate_price_low,16150,13930,13596,14254,14263,15049,20819,21989,28481,25602,24058,26320,27451,36520,42048,36921,34869,33879,30487,39890,42915,37028,37392,37903,38136,42638
19,BID,estimate_price_high,24225,20894,20395,21381,21394,22574,31230,32982,42722,38404,36088,39480,41176,54780,63072,55381,52304,50819,45730,59836,64372,55543,56088,56855,57203,63957
20,MSN,estimate_price_low,77110,89472,56113,45688,32377,37702,84960,86584,151629,82885,72853,71050,55958,115330,76647,38980,30067,23447,27956,77805,131600,144438,1249682,163586,130203,99285
21,MSN,estimate_price_high,115664,134208,84170,68532,48565,56554,127441,129876,227444,124329,109280,106574,83937,172995,114970,58470,45101,35170,41934,116708,197400,216657,1874523,245379,195304,148928
22,CTG,estimate_price_low,14259,15466,14457,14731,15721,16179,17192,20056,20602,19699,14972,18051,17848,20720,30500,20203,23830,20944,32178,38446,31035,27484,24116,24386,28322,26352
